Article ID,Article ID (DB id),Article name (rollup),Author name,Author country,Author faculty,Full university information,raw text,Author country 2,Author faculty 2,Full faculty information 2,Author faculty 3,Full faculty 3,Faculty 4,full infor 4
3,WOS:000619190000002 (https://www.notion.so/WOS-000619190000002-10c0ee199b1d8172970afa4a1d95bab4?pvs=21),ON A COMPUTATIONALLY SCALABLE SPARSE FORMULATION OF THE MULTIDIMENSIONAL AND NONSTATIONARY MAXIMUM ENTROPY PRINCIPLE,Patrick Gagliardini,Switzerland,Faculty of Economics,"Faculty of Economics, Università della Svizzera italiana Via G. Buffi 13, CH-6900 Lugano, Switzerland","Illia Horenkoa,∗
, Ganna Marchenkoa
, Patrick Gagliardinib,c
,
aUniversità della Svizzera Italiana, Faculty of Informatics, Via G. Buffi 13, TI-6900 Lugano, Switzerland,
bFaculty of Economics, Università della Svizzera italiana Via G. Buffi 13, CH-6900 Lugano, Switzerland,
cSwiss Finance Institute, Walchestrasse 9, CH-8006 Zurich, Switzerland,
∗To whom correspondence should be addressed; E-mail: horenkoi@usi.ch",Switzerland,Swiss Finance Institute,"Swiss Finance Institute, Walchestrasse 9, CH-8006 Zurich, Switzerland",,,,
4,WOS:001194900200001 (https://www.notion.so/WOS-001194900200001-10c0ee199b1d812da785e9a7e354ac72?pvs=21),Risk Forecasting Comparisons in Decentralized Finance: An Approach in Constant Product Market Makers,Lucas Mussoi Almeid,Brazil,Department of Mechanical Engineering,"Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil","Lucas Mussoi Almeida
mailto:lucas.mussoi@ufrgs.br
Fernanda Maria Müller
mailto:fernanda.muller@ufrgs.br
Marcelo Scherer Perlin
mailto:marcelo.perlin@ufrgs.br
1 Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil",,,,,,,
4,WOS:001194900200001 (https://www.notion.so/WOS-001194900200001-10c0ee199b1d812da785e9a7e354ac72?pvs=21),Risk Forecasting Comparisons in Decentralized Finance: An Approach in Constant Product Market Makers,Fernanda Maria Müller,Brazil,https://www.researchgate.net/institution/Universidade_Federal_do_Rio_Grande_do_Sul?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InByb2ZpbGUiLCJwYWdlIjoicHJvZmlsZSJ9fQ (Finance),"Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, BrazilFederal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil","Lucas Mussoi Almeida
lucas.mussoi@ufrgs.br
Fernanda Maria Müller
fernanda.muller@ufrgs.br
Marcelo Scherer Perlin
marcelo.perlin@ufrgs.br
1 Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil",,,,,,,
4,WOS:001194900200001 (https://www.notion.so/WOS-001194900200001-10c0ee199b1d812da785e9a7e354ac72?pvs=21),Risk Forecasting Comparisons in Decentralized Finance: An Approach in Constant Product Market Makers,"Marcelo Scherer Perlin ",Brazil,Finance,"Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, BrazilFederal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil","Lucas Mussoi Almeida
lucas.mussoi@ufrgs.br
Fernanda Maria Müller
fernanda.muller@ufrgs.br
Marcelo Scherer Perlin
marcelo.perlin@ufrgs.br
1 Federal University of Rio Grande do Sul, Porto Alegre, RS 90010460, Brazil",,,,,,,
5,WOS:000407472100007 (https://www.notion.so/WOS-000407472100007-10c0ee199b1d8122a8aeea37d9b7ce75?pvs=21),Practical Bayesian support vector regression for financial time series prediction and market condition change detection,T. LAW∗,United Kingdom,Department of Computer Science,"Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom","T. LAW∗ and J. SHAWE-TAYLOR
Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom",,,,,,,
5,WOS:000407472100007 (https://www.notion.so/WOS-000407472100007-10c0ee199b1d8122a8aeea37d9b7ce75?pvs=21),Practical Bayesian support vector regression for financial time series prediction and market condition change detection," J. SHAWE-TAYLOR",United Kingdom,Department of Computer Science,"Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom","T. LAW∗ and J. SHAWE-TAYLOR
Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom",,,,,,,
6,WOS:000636288300001 (https://www.notion.so/WOS-000636288300001-10c0ee199b1d81a99f1cf2b62b46d0a2?pvs=21),Predictions of bitcoin prices through machine learning based frameworks,Luisianna Cocco,Italy,Department of Mathematics and Computer Science,"Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

","Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

",,,,,,,
6,WOS:000636288300001 (https://www.notion.so/WOS-000636288300001-10c0ee199b1d81a99f1cf2b62b46d0a2?pvs=21),Predictions of bitcoin prices through machine learning based frameworks,Robert Tonelli,Italy,Department of Mathematics and Computer Science,"Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

","Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

",,,,,,,
6,WOS:000636288300001 (https://www.notion.so/WOS-000636288300001-10c0ee199b1d81a99f1cf2b62b46d0a2?pvs=21),Predictions of bitcoin prices through machine learning based frameworks,Michele Marchesi,Italy,Department of Mathematics and Computer Science,"Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

","Department of Mathematics and Computer Science, University of Cagliari, Cagliari, Italy

",,,,,,,
7,WOS:000937700000001 (https://www.notion.so/WOS-000937700000001-10c0ee199b1d816c987fcb923ab786cb?pvs=21),Bayesian bilinear neural network for predicting the mid-price dynamics in limit-order book markets,Martin Magris,Denmark,"Department of Electrical and Computer
Engineering","Martin Magris, Aarhus University,
Department of Electrical and Computer
Engineering, Finlandsgade 22, Aarhus
8200, Denmark.","Martin Magris | Mostafa Shabani | Alexandros Iosifidis
Department of Electrical and Computer
Engineering, Aarhus University, Aarhus,
Denmark",,,,,,,
7,WOS:000937700000001 (https://www.notion.so/WOS-000937700000001-10c0ee199b1d816c987fcb923ab786cb?pvs=21),Bayesian bilinear neural network for predicting the mid-price dynamics in limit-order book markets,Mostafa Shabani,Denmark,"Department of Electrical and Computer
Engineering","Martin Magris, Aarhus University,
Department of Electrical and Computer
Engineering, Finlandsgade 22, Aarhus
8200, Denmark.Martin Magris, Aarhus University,
Department of Electrical and Computer
Engineering, Finlandsgade 22, Aarhus
8200, Denmark.","Martin Magris | Mostafa Shabani | Alexandros Iosifidis
Department of Electrical and Computer
Engineering, Aarhus University, Aarhus,
Denmark",,,,,,,
7,WOS:000937700000001 (https://www.notion.so/WOS-000937700000001-10c0ee199b1d816c987fcb923ab786cb?pvs=21),Bayesian bilinear neural network for predicting the mid-price dynamics in limit-order book markets,Alexandros Iosifidis,Denmark,"Department of Electrical and Computer
Engineering","Martin Magris, Aarhus University,
Department of Electrical and Computer
Engineering, Finlandsgade 22, Aarhus
8200, Denmark.","Martin Magris | Mostafa Shabani | Alexandros Iosifidis
Department of Electrical and Computer
Engineering, Aarhus University, Aarhus,
Denmark",,,,,,,
8,WOS:000863319300002 (https://www.notion.so/WOS-000863319300002-10c0ee199b1d81aaa35dd9c7766e8ec9?pvs=21),"Time-series forecasting using manifold learning, radial basis function interpolation, and geometric harmonics",Panagiotis G. Papaioannou,Italy,Dipartimento di Matematica e Applicazioni,"Dipartimento di Matematica e Applicazioni “Renato Caccioppoli,” Università degli Studi di Napoli Federico II, Naples 80126, Italy","Panagiotis G. Papaioannou,1 Ronen Talmon,2
Ioannis G. Kevrekidis,3 and Constantinos Siettos4,a)
AFFILIATIONS
1Dipartimento di Matematica e Applicazioni “Renato Caccioppoli,” Università degli Studi di Napoli Federico II, Naples 80126, Italy
2Viterbi Faculty of Electrical and Computer Engineering, Technion, Israel Institute of Technology, Haifa 3200003, Israel
3Department of Chemical and Biomolecular Engineering, Department of Applied Mathematics and Statistics,
and the School of Medicine, Johns Hopkins University, Baltimore, Maryland 21218, USA
4Dipartimento di Matematica e Applicazioni “Renato Caccioppoli” and Scuola Superiore Meridionale,
Università degli Studi di Napoli Federico II, Naples 80126, Italy",,,,,,,
8,WOS:000863319300002 (https://www.notion.so/WOS-000863319300002-10c0ee199b1d81aaa35dd9c7766e8ec9?pvs=21),"Time-series forecasting using manifold learning, radial basis function interpolation, and geometric harmonics",Ronen Talmon,Israel,Viterbi Faculty of Electrical and Computer Engineering,"Viterbi Faculty of Electrical and Computer Engineering, Technion, Israel Institute of Technology, Haifa 3200003, Israel
","Panagiotis G. Papaioannou,1 Ronen Talmon,2
Ioannis G. Kevrekidis,3 and Constantinos Siettos4,a)
AFFILIATIONS
1Dipartimento di Matematica e Applicazioni “Renato Caccioppoli,” Università degli Studi di Napoli Federico II, Naples 80126, Italy
2Viterbi Faculty of Electrical and Computer Engineering, Technion, Israel Institute of Technology, Haifa 3200003, Israel
3Department of Chemical and Biomolecular Engineering, Department of Applied Mathematics and Statistics,
and the School of Medicine, Johns Hopkins University, Baltimore, Maryland 21218, USA
4Dipartimento di Matematica e Applicazioni “Renato Caccioppoli” and Scuola Superiore Meridionale,
Università degli Studi di Napoli Federico II, Naples 80126, Italy",,,,,,,
8,WOS:000863319300002 (https://www.notion.so/WOS-000863319300002-10c0ee199b1d81aaa35dd9c7766e8ec9?pvs=21),"Time-series forecasting using manifold learning, radial basis function interpolation, and geometric harmonics","Ioannis G. Kevrekidis,",USA,Department of Applied Mathematics and Statistics,"Department of Chemical and Biomolecular Engineering, Department of Applied Mathematics and Statistics,
and the School of Medicine, Johns Hopkins University, Baltimore, Maryland 21218, USA","Panagiotis G. Papaioannou,1 Ronen Talmon,2
Ioannis G. Kevrekidis,3 and Constantinos Siettos4,a)
AFFILIATIONS
1Dipartimento di Matematica e Applicazioni “Renato Caccioppoli,” Università degli Studi di Napoli Federico II, Naples 80126, Italy
2Viterbi Faculty of Electrical and Computer Engineering, Technion, Israel Institute of Technology, Haifa 3200003, Israel
3Department of Chemical and Biomolecular Engineering, Department of Applied Mathematics and Statistics,
and the School of Medicine, Johns Hopkins University, Baltimore, Maryland 21218, USA
4Dipartimento di Matematica e Applicazioni “Renato Caccioppoli” and Scuola Superiore Meridionale,
Università degli Studi di Napoli Federico II, Naples 80126, Italy",,Department of Chemical and Biomolecular Engineering,,,,,
8,WOS:000863319300002 (https://www.notion.so/WOS-000863319300002-10c0ee199b1d81aaa35dd9c7766e8ec9?pvs=21),"Time-series forecasting using manifold learning, radial basis function interpolation, and geometric harmonics",Constantinos Siettos,Italy,Dipartimento di Matematica e Applicazioni,"Dipartimento di Matematica e Applicazioni “Renato Caccioppoli” and Scuola Superiore Meridionale,
Università degli Studi di Napoli Federico II, Naples 80126, Italy","Panagiotis G. Papaioannou,1 Ronen Talmon,2
Ioannis G. Kevrekidis,3 and Constantinos Siettos4,a)
AFFILIATIONS
1Dipartimento di Matematica e Applicazioni “Renato Caccioppoli,” Università degli Studi di Napoli Federico II, Naples 80126, Italy
2Viterbi Faculty of Electrical and Computer Engineering, Technion, Israel Institute of Technology, Haifa 3200003, Israel
3Department of Chemical and Biomolecular Engineering, Department of Applied Mathematics and Statistics,
and the School of Medicine, Johns Hopkins University, Baltimore, Maryland 21218, USA
4Dipartimento di Matematica e Applicazioni “Renato Caccioppoli” and Scuola Superiore Meridionale,
Università degli Studi di Napoli Federico II, Naples 80126, Italy",,,,,,,
9,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),DeepAR-Attention probabilistic prediction for stock price series,Jiacheng Li,China,School of Electronic and Information Engineering,"School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China","Delu Zeng
mailto:dlzeng@scut.edu.cn
Jiacheng Li
mailto:eejiacheng_li@mail.scut.edu.cn
Wei Chen
mailto:maweichen@mail.scut.edu.cn
Zhiheng Zhou
mailto:zhouzh@scut.edu.cn
Junmei Yang
mailto:yjunmei@scut.edu.cn
1 School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China
2 School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China",,,,,,,
9,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),DeepAR-Attention probabilistic prediction for stock price series,Wei Chen,China,School of Mathematics,"School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China","Delu Zeng
mailto:dlzeng@scut.edu.cn
Jiacheng Li
mailto:eejiacheng_li@mail.scut.edu.cn
Wei Chen
mailto:maweichen@mail.scut.edu.cn
Zhiheng Zhou
mailto:zhouzh@scut.edu.cn
Junmei Yang
mailto:yjunmei@scut.edu.cn
1 School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China
2 School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China",,,,,,,
9,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),DeepAR-Attention probabilistic prediction for stock price series,Zhiheng Zhou,China,School of Electronic and Information Engineering,"School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China","Delu Zeng
mailto:dlzeng@scut.edu.cn
Jiacheng Li
mailto:eejiacheng_li@mail.scut.edu.cn
Wei Chen
mailto:maweichen@mail.scut.edu.cn
Zhiheng Zhou
mailto:zhouzh@scut.edu.cn
Junmei Yang
mailto:yjunmei@scut.edu.cn
1 School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China
2 School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China",,,,,,,
9,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),DeepAR-Attention probabilistic prediction for stock price series,Junmei Yang,China,School of Electronic and Information Engineering,"School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China","Delu Zeng
mailto:dlzeng@scut.edu.cn
Jiacheng Li
mailto:eejiacheng_li@mail.scut.edu.cn
Wei Chen
mailto:maweichen@mail.scut.edu.cn
Zhiheng Zhou
mailto:zhouzh@scut.edu.cn
Junmei Yang
mailto:yjunmei@scut.edu.cn
1 School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China
2 School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China",,,,,,,
9,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),DeepAR-Attention probabilistic prediction for stock price series,Delu Zeng,China,School of Electronic and Information Engineering,"School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China","Delu Zeng
mailto:dlzeng@scut.edu.cn
Jiacheng Li
mailto:eejiacheng_li@mail.scut.edu.cn
Wei Chen
mailto:maweichen@mail.scut.edu.cn
Zhiheng Zhou
mailto:zhouzh@scut.edu.cn
Junmei Yang
mailto:yjunmei@scut.edu.cn
1 School of Electronic and Information Engineering, South
China University of Technology,
Guangzhou 510640, Guangdong province, China
2 School of Mathematics, South China University of
Technology, Guangzhou 510640, Guangdong province,
China",,,,,,,
10,10.1016/j.neucom.2021.03.111 (https://www.notion.so/10-1016-j-neucom-2021-03-111-10c0ee199b1d8120a5a2dc45a0b28239?pvs=21),Recurrent dictionary learning for state-space models with an application in stock forecasting,Shalini Sharma,India,Indraprastha Institute of Information Technology,"Indraprastha Institute of Information Technology, Delhi, India","Shalini Sharma a,⇑
, Víctor Elvira d
, Emilie Chouzenoux c
, Angshul Majumdar a,b
a Indraprastha Institute of Information Technology, Delhi, India
b TCS Research, Kolkata, India
cUniversité Paris-Saclay, CentraleSupélec, Inria, CVN, Gif-sur-Yvette, France
d School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom",,,,,,,
10,10.1016/j.neucom.2021.03.111 (https://www.notion.so/10-1016-j-neucom-2021-03-111-10c0ee199b1d8120a5a2dc45a0b28239?pvs=21),Recurrent dictionary learning for state-space models with an application in stock forecasting,Víctor Elvira,United Kingdom,School of Mathematics," School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom","Shalini Sharma a,⇑
, Víctor Elvira d
, Emilie Chouzenoux c
, Angshul Majumdar a,b
a Indraprastha Institute of Information Technology, Delhi, India
b TCS Research, Kolkata, India
cUniversité Paris-Saclay, CentraleSupélec, Inria, CVN, Gif-sur-Yvette, France
d School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom",,,,,,,
10,10.1016/j.neucom.2021.03.111 (https://www.notion.so/10-1016-j-neucom-2021-03-111-10c0ee199b1d8120a5a2dc45a0b28239?pvs=21),Recurrent dictionary learning for state-space models with an application in stock forecasting,Emilie Chouzenoux,France,mathematics and computer science (digital vision),"Université Paris-Saclay, CentraleSupélec, Inria, CVN, Gif-sur-Yvette, France","Shalini Sharma a,⇑
, Víctor Elvira d
, Emilie Chouzenoux c
, Angshul Majumdar a,b
a Indraprastha Institute of Information Technology, Delhi, India
b TCS Research, Kolkata, India
cUniversité Paris-Saclay, CentraleSupélec, Inria, CVN, Gif-sur-Yvette, France
d School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom",,,,,,,
10,10.1016/j.neucom.2021.03.111 (https://www.notion.so/10-1016-j-neucom-2021-03-111-10c0ee199b1d8120a5a2dc45a0b28239?pvs=21),Recurrent dictionary learning for state-space models with an application in stock forecasting,Angshul Majumdar,India,Indraprastha Institute of Information Technology,"Indraprastha Institute of Information Technology, Delhi, India","Shalini Sharma a,⇑
, Víctor Elvira d
, Emilie Chouzenoux c
, Angshul Majumdar a,b
a Indraprastha Institute of Information Technology, Delhi, India
b TCS Research, Kolkata, India
cUniversité Paris-Saclay, CentraleSupélec, Inria, CVN, Gif-sur-Yvette, France
d School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom",,"TCS Research, Kolkata, India",,,,,
11,10.1002/sta4.70001 (https://www.notion.so/10-1002-sta4-70001-10c0ee199b1d817fa9facf8a269106d6?pvs=21),Bitcoin Price Prediction Using Deep Bayesian LSTM With Uncertainty Quantification: A Monte Carlo Dropout–Based Approach,"Masoud Muhammed Hassan
",Iraq,Department of Computer Science,"Department of Computer Science, College of Science, University of Zakho, Zakho, Kurdistan Region, Iraq","Masoud Muhammed Hassan
Department of Computer Science, College of Science, University of Zakho, Zakho, Kurdistan Region, Iraq",,,,,,,
