Assessed by,Status,ID,Double checked by,Title,Link,File,Exclude,Model input,Horizon,Frequency,What is predicted?,Type of asset,Specific asset,UQ quality assessment,Use of UQ,Assement cirterias of uncertainty,Is code disclosed?,GPT assessment,Starred,ID (tekst),Prob AI model name,Composed with ML models,Composed with traditional models,🎯 ML benchmark?,🎯 ML benchm. models,🎯 Trad. benchm.?,🎯 Trad. benchm. models,📐 ML benchm.?,📐 ML benchm. models,📐 Trad. benchm.?,📐 Trad. benchm. models,(OLD) Benchmarked against (Model),(OLD) Model relationships,(OLD) Name of model,Decision,ID okay?,Summary (AI),DOI,Exclusion comment,Last edited time,Last edited by,Model fields fixed?,Needs discussion,Old models as text,Composition double checked by,Included in last iteration,Model category,Parametric output distribution?,Reason for using prob AI,Adressed in 3.3.2,Type of volatility modeled,Passes UC and indep.?,Passes UC test?,Passes indep.?,Risk measures produced
Tord,Assessed,WOS:000701133500001 (https://www.notion.so/WOS-000701133500001-10c0ee199b1d8105b13bc4b034eb8576?pvs=21),,Estimation with Uncertainty via Conditional Generative Adversarial Networks,https://doi.org/10.3390/s21186194,sensors-21-06194-v2.pdf,,"History, Technical",1 week,Daily,Price,Stock indices,NASDAQ-100 Future Index,Yes,Non-distinguishing (confidence),"Correlation between uncertainty and prediction error, Portfolio construction and evaluation",Yes,https://chatgpt.com/share/66f6ad07-ceb0-8005-ad74-42fd65b17512,,WOS:000701133500001,Conditional Generative Adversarial Network (CGAN),,,Yes and outperforming,"Artificial Neural Networks (ANN), Bayesian Neural Network (BNN), Random forest (RF)",Yes and outperforming,"Lasso regression, Ridge regression",Yes and outperforming,Bayesian Neural Network (BNN),No,,,N/A,cGAN-UC,y,Yes,"Introduces a predictive probabilistic neural network model using conditional GANs to estimate stock prices with uncertainty quantification, showing superior performance especially on noisy data.",10.3390/s21186194,,"November 6, 2024 2:59 PM",Tord Johan Espe,Fixed,,cGAN-UC,,,cGAN,No,,Yes,,,,,
Tord,Assessed,WOS:000619190000002 (https://www.notion.so/WOS-000619190000002-10c0ee199b1d8172970afa4a1d95bab4?pvs=21),Tord Johan Espe,ON A COMPUTATIONALLY SCALABLE SPARSE FORMULATION OF THE MULTIDIMENSIONAL AND NONSTATIONARY MAXIMUM ENTROPY PRINCIPLE,https://doi.org/10.2140/camcos.2020.15.129,2005.03253v1.pdf,,"History, Technical",1 day,N/A,Price with uncertainty,Stock indices,"DJI, FTSE, Hang Seng Index (HSI), N225, SMI, SPX, STOXX",Yes,"Aleatoric (Volatility), Financial interpretation (e.g. VaR)","Bayesian Information Criteria (BIC), Coverage probabillty, Kupiec’s test, negative log-likelihood (NLL)",Yes,https://chatgpt.com/share/66f6b9f3-0fbc-8005-a075-020e81ae104c,,WOS:000619190000002,TV-Entropy,,,No,,Yes and outperforming,"GARCH, GARCH-GJR, GARCH-PML4 (Pseudo Maximum Likelihood method), Markov Switching GARCH (MS-GARCH)",No,,Yes and outperforming,"GARCH, GARCH-GJR, GARCH-PML4 (Pseudo Maximum Likelihood method), Markov Switching GARCH (MS-GARCH)",,N/A,TV-Entropy,y,Yes,"Develops a multivariate nonparametric formulation of the MaxEnt principle and applies it to financial benchmarks, comparing to econometric models, showing better description with probabilistic measures.",10.2140/camcos.2020.15.129,,"November 8, 2024 8:08 PM",Tord Johan Espe,Fixed,,TV-Entropy,,,,Tja,,Yes,,Not tested,Unclear,Not tested,VaR
Tord,Assessed,WOS:001194900200001 (https://www.notion.so/WOS-001194900200001-10c0ee199b1d812da785e9a7e354ac72?pvs=21),Tord Johan Espe,Risk Forecasting Comparisons in Decentralized Finance: An Approach in Constant Product Market Makers,https://doi.org/10.1007/s10614-024-10585-6,s10614-024-10585-6.pdf,,"History, Technical",1 day,N/A,"ES, Full distribution of returns, VaR",Cryptocurrency,ETH - portfolio,Yes,Financial interpretation (e.g. VaR),"Continuous Ranked Probability Score (CRPS), Elicitability score for VaR",No,https://chatgpt.com/share/66fbc63d-50c4-8005-8374-3d5832f3bb96,,WOS:001194900200001,DeepAR (based on autoregressive RNN),,,Irrelevant (point predictions are not used),,Irrelevant (point predictions are not used),,No,,Yes but underperforming,GARCH,GARCH,,DeepAR,y,Yes,"Uses GARCH and DeepAR models to forecast Value-at-Risk and Expected Shortfall in decentralized finance markets, finding GARCH better for VaR, DeepAR better for ES.",10.1007/s10614-024-10585-6,,"November 8, 2024 8:06 PM",Tord Johan Espe,Fixed,"Are we sure they predict a financial time series here? Seems to me like they predict the VaR and ES of different liquidity pools of crypto, which are not price, but rather ollection of crypto assets locked into a smart contract on a decentralized exchange (DEX) or a decentralized finance (DeFi) platform. 

ALSO, all the tests that this article is tagged with does not exist in the article??? Except Continuous Ranked Probability Score (CRPS)","GARCH, DeepAR",,,Prob RNN ext.,Both,,Yes,,Not tested,Not tested,Not tested,"CVaR, VaR"
Tord,Assessed,WOS:000407472100007 (https://www.notion.so/WOS-000407472100007-10c0ee199b1d8122a8aeea37d9b7ce75?pvs=21),Tord Johan Espe,Practical Bayesian support vector regression for financial time series prediction and market condition change detection,https://doi.org/10.1080/14697688.2016.1267868,Practical_Bayesian_support_vector_regression_for_financial_time_series_prediction_and_market_condition_change_detection.pdf,,History,1 day,N/A,Price,"Bonds, Commodities, Credit Default Swap (CDS) Spreads, Stock indices","Bond Yield | GB10YR | UK Gilt 10YR, Bond Yield | US10YR | US Treasury 10YR, CDS Spread | IBM-CDS | INTERNATIONAL BUSINESS MACHINES CORPORATION 5YR, CDS Spread | WMT-CDS | WAL-MART STORES INC. 5YR, Commodity Futures | BRENT | ICE BRENT Crude Oil Front Month Futures, Commodity Futures | GOLD | CME GOLD Front Month Futures, Equity Index | FTSE | FTSE 100, Equity Index | SPX | S&P 500",Yes,Non-distinguishing (confidence),Correlation between uncertainty and prediction error,No,https://chatgpt.com/share/66fbcd67-17dc-8005-abcc-6a5e3f110caf,,WOS:000407472100007,Bayesian Support Vector Regression (B-SVR),,,Yes and outperforming,Support Vector Regression (SVR),No,,No,,No,,SVR,,Bayesian Support Vector Regression (BSVR),y,Yes,"This study develops a Bayesian support vector regression framework for financial time series prediction and market condition detection, providing prediction uncertainty estimates and automated parameter selection.",10.1080/14697688.2016.1267868,,"November 11, 2024 4:27 PM",Tord Johan Espe,Fixed,,"SVR, Bayesian Support Vector Regression (BSVR)",,,B-SVR,Yes,,Yes,,,,,
Tord,Assessed,WOS:000636288300001 (https://www.notion.so/WOS-000636288300001-10c0ee199b1d81a99f1cf2b62b46d0a2?pvs=21),,Predictions of bitcoin prices through machine learning based frameworks,https://doi.org/10.7717/peerj-cs.413,Predictions_of_bitcoin_prices_through_machine_learning_based_frameworks_PeerJ.pdf,,Technical,"1 day, 1 month, 2 weeks",N/A,Price,Cryptocurrency,"Bitcoin (BTC), Ethereum (ETH)",No,Non-distinguishing (confidence),,No,,,WOS:000636288300001,"BNN-SVR, Bayesian Neural Network (BNN)",,,Yes but underperforming,"FFNN-SVR, Feed Forward Neural Network (FFNN), LSTM-SVR, Long Short Term Memory Neural Network (LSTM)",No,,,,No,,,Models are compared,"BNN, BNN-SVR, FFNN, FFNN-SVR, LSTM, LSTM-SVR",y,Yes,"Compares machine learning frameworks, including Bayesian Neural Networks, FFNN, LSTM, with Bayesian optimization to predict Bitcoin prices, finding Bayesian Neural Networks best.",10.7717/peerj-cs.413,,"November 11, 2024 2:05 PM",Tord Johan Espe,Fixed,,"BNN, FFNN, LSTM, BNN-SVR, FFNN-SVR, LSTM-SVR",,,BNN,No,,Yes,,,,,
Tord,Assessed,WOS:000937700000001 (https://www.notion.so/WOS-000937700000001-10c0ee199b1d816c987fcb923ab786cb?pvs=21),Tord Johan Espe,Bayesian bilinear neural network for predicting the mid-price dynamics in limit-order book markets,https://doi.org/10.1002/for.2955,Journal_of_Forecasting_-_2023_-_Magris_-_Bayesian_bilinear_neural_network_for_predicting_the_midprice_dynamics_in.pdf,,"History, Technical",Short (milliseconds),N/A,Category with probability,Stocks,NASDAQ Nordic Helsinki exchange assets,Yes,Non-distinguishing (confidence),"Expected Calibration Distance (ECD), Expected Calibration Error (ECE)",No,https://chatgpt.com/share/66fbe760-7cf0-8005-9a95-a5540824b57d,,WOS:000937700000001,Bayesian temporal attention augmented bilinear network (B-TABL),,,Yes and outperforming,"ADAM-TABL, SGD-TABL",No,,Yes and outperforming,"ADAM-TABL, SGD-TABL",No,,"ADAM-TABL, SGD-TABL",,Bayesian temporal attention augmented bilinear network (B-TABL),y,Yes,"The study introduces a Bayesian bilinear neural network with temporal attention for predicting mid-price dynamics in limit-order book markets, providing uncertainty estimates alongside predictions.",10.1002/for.2955,,"October 18, 2024 3:15 PM",Kristoffer Grude,Fixed,,"ADAM-TABL, SGD-TABL, Bayesian temporal attention augmented bilinear network (B-TABL)",,,,,,No,,,,,
Tord,Assessed,WOS:000863319300002 (https://www.notion.so/WOS-000863319300002-10c0ee199b1d81aaa35dd9c7766e8ec9?pvs=21),,"Time-series forecasting using manifold learning, radial basis function interpolation, and geometric harmonics",https://doi.org/10.1063/5.0094887,083113_1_online.pdf,,History,1 day,N/A,Price,Forex,"AUD/USD, CAD/USD, CHF/USD, DKK/USD, EUR/USD, GBP/USD, JPY/USD, NOK/ USD, NZD/USD, SEK/USD",No,Not used,,No,https://chatgpt.com/share/66fbeedb-8c7c-8005-904a-19b637662984,,WOS:000863319300002,Gaussian Process Regression (GPR),,,No,,Yes and outperforming,Multivariate Autoregressive (MVAR),,,,,,Models are compared,"Gaussian Process Regression (GPR), Manifold learning",y,Yes,"Develops a manifold learning-based framework for forecasting high-dimensional time series, demonstrated on synthetic data and foreign exchange rates.",10.1063/5.0094887,,"November 4, 2024 1:40 PM",Tord Johan Espe,Fixed,,"Gaussian Process Regression (GPR), Manifold learning",,,,,"No reason given, also tests MVAR",No,,,,,
Tord,Assessed,10.1007/s00521-024-09916-3 (https://www.notion.so/10-1007-s00521-024-09916-3-10c0ee199b1d811d8f93c2f5c2036ac4?pvs=21),Sivertae,DeepAR-Attention probabilistic prediction for stock price series,https://doi.org/10.1007/s00521-024-09916-3,s00521-024-09916-3.pdf,,History,Flexible,Daily,Price with uncertainty,Stocks,Chinese company stocks,Yes,Non-distinguishing (confidence),Entropy of probability distribution,No,https://chatgpt.com/share/66fc0744-1c38-8005-9dbb-9d04b48f80d7,,10.1007/s00521-024-09916-3,DeepAR with attention (DeepARA),,,Yes and outperforming,"Bidirectional LSTM (BiLSTM), Long Short Term Memory Neural Network (LSTM), Recurrent Neural Network (RNN), Support Vector Regression (SVR)",No,,No,,No,,ARIMA,,DeepAR with attention (DeepARA),y,Yes,"Proposes the DeepARA model, an attention-based DeepAR framework for both single-point and probabilistic stock price predictions, outperforming baseline models.",10.1007/s00521-024-09916-3,,"November 8, 2024 3:38 PM",Tord Johan Espe,Fixed,,"ARIMA, DeepAR with attention (DeepARA)",,,Prob RNN ext.,Yes,,Yes,,,,,
Tord,Assessed,10.1016/j.neucom.2021.03.111 (https://www.notion.so/10-1016-j-neucom-2021-03-111-10c0ee199b1d8120a5a2dc45a0b28239?pvs=21),,Recurrent dictionary learning for state-space models with an application in stock forecasting,https://doi.org/10.1016/j.neucom.2021.03.111,1-s2.0-S0925231221005038-main.pdf,,History,1 day,N/A,"Category, Price",Stocks,"Chinese company stocks, India stocks, UK stocks, USA stocks",Yes,Not used,Log-loss,No,"https://chatgpt.com/share/66fd3066-85cc-8005-b161-752972f8337f
https://chatgpt.com/share/66fd3076-17f8-8005-9c68-a6862284f7e8",,10.1016/j.neucom.2021.03.111,Recurrent Dictionary Learing (RDL),,,Yes and outperforming,Long Short Term Memory Neural Network (LSTM),Yes and outperforming,ARIMA,No,,No,,"ARIMA, LSTM",N/A,Recurrent Dictionary Learing (RDL),y,Yes,"Introduces the recurrent dictionary learning model for stock forecasting, leveraging probabilistic inference and state-space models to outperform existing stock analysis models.",10.1016/j.neucom.2021.03.111,,"November 6, 2024 2:17 PM",Tord Johan Espe,Fixed,,"ARIMA, LSTM, Recurrent Dictionary Learing (RDL)",,,,Yes,,Yes,,,,,
Tord,Assessed,10.1002/sta4.70001 (https://www.notion.so/10-1002-sta4-70001-10c0ee199b1d817fa9facf8a269106d6?pvs=21),Tord Johan Espe,Bitcoin Price Prediction Using Deep Bayesian LSTM With Uncertainty Quantification: A Monte Carlo Dropout–Based Approach,https://doi.org/10.1002/sta4.70001,Stat_-_2024_-_Hassan_-_Bitcoin_Price_Prediction_Using_Deep_Bayesian_LSTM_With_Uncertainty_Quantification__A_Monte_Carlo.pdf,,History,1 day,N/A,Price,Cryptocurrency,Bitcoin (BTC),No,Epistemic (Model),,No,https://chatgpt.com/share/66fd39cf-0e68-8005-a6c3-a9a8dafb811e,,10.1002/sta4.70001,Bayesian LSTM with Monte Carlo Drouput,,,Yes and outperforming,"Fractional grey model (FGM), Gated recurrent unit (GRU), Genetic algorithm with deep learning, Long Short Term Memory Neural Network (LSTM), Particle swarm optimization with XGBoost algorithm, Wale optimization algorithm with twin support vector regression (WOA-TWSVR)",Yes and outperforming,ARIMA,,,,,"ARIMA, LSTM",N/A,Bayesian LSTM with Monte Carlo Drouput,y,Yes,"Develops a Deep Bayesian LSTM model with Monte Carlo dropout to predict Bitcoin prices, effectively quantifying uncertainty and surpassing state-of-the-art models in prediction accuracy and reliability.",10.1002/sta4.70001,,"November 6, 2024 12:12 PM",Tord Johan Espe,Fixed,,"ARIMA, LSTM, Bayesian LSTM with Monte Carlo Drouput",,,BNN,No,,Yes,,,,,
