ID,Title,Abstract,DOI,Keywords,Origin,Summary,Financial instrument?,Instrument,AI?,Probabilistic?
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9745535,A Hybrid Prediction Model Integrating GARCH Models With a Distribution Manipulation Strategy Based on LSTM Networks for Stock Market Volatility,"Accurate prediction of volatility is one of the most important tasks in financial decision making. Recently, the hybrid models integrating artificial neural networks with GARCH-type models have been developed, and performance gains from the models have been found to be outstanding. However, there have been few studies of hybrid models considering the nature of the distribution of financial data. Distribution of volatility time-series is highly concentrated near zero, and such aspect can cause low prediction performance on the whole domain of probability density function because weights in the networks can be trained to obtain accurate prediction only for the high frequency region, that is, near zero. To overcome the challenge, we propose a new hybrid model with GARCH-type models based on a novel non-linear filtering method to mitigate concentration property of volatility. For the filtering, we utilize root-type functions that transform extremely left-biased and pointed distribution of original volatility to a volume-upped (VU) distribution shifted to the right. Long short-term memory (LSTM) is employed as the basic implementation model, and the realized volatility of S&P 500 is predicted using the proposed models. It is found that the proposed hybrid model (VU-GARCH-LSTM) obtains 21.03% performance gain with respect to the root mean square error (RMSE) against the mean performances of the existing hybrid models integrating LSTM with GARCH-type models. Furthermore, the proposed model improves prediction performance in the right domain region of label probability density by making the prediction distribution comparable to the label distribution.",10.1109/access.2022.3163723,Predictive models;Data models;Stock markets;Stochastic processes;Recurrent neural networks;Stock market volatility;long short-term memory;GARCH models;distribution manipulation,IEEE,"The study develops a hybrid model integrating GARCH and LSTM networks with distribution manipulation for predicting stock market volatility, achieving significant performance improvements.",✔️,Stock market volatility,✔️,✔️
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138772,A Latent Factor-Based Bayesian Neural Networks Model in Cloud Platform for Used Car Price Prediction,"The selling price of a used car can be predicted based on its historical information. Accurate and reasonable used car price evaluation will be able to promote the healthy progress of the used car industry. Current used car price prediction models are troubled by data quality and the inability to provide estimates of uncertain information, and the prediction accuracy cannot meet the needs of real-world scenarios. In this work, we propose a price prediction model based on a Bayesian neural networks with latent factor (LFBNN) in a cloud platform, which is capable of performing latent factor extraction operations on structured data of used cars as a way to remove the effect of noise in the dataset on the model performance. Moreover, the weight parameters of the Bayesian neural networks (NNs) are represented as probability distributions, which is equivalent to introducing uncertainty and acting as a regularization effect compared to a NN with fixed weights, thus making it possible to alleviate the overfitting problem. The LFBNN model uses a cloud platform for data transmission and storage, enabling it to run faster. Compared with the current benchmark models, the model proposed in this work achieves excellent experimental results on two real datasets. The experimental results on the $Car_{1}$ dataset are 1.498 for mse, 1.224 for rmse, and 0.995 for MAE, and 1.519 for mse, 1.232 for rmse, and 1.002 for MAE on the $Car_{2}$ dataset.",10.1109/tem.2023.3270301,Automobiles;Predictive models;Bayes methods;Artificial neural networks;Data models;Data mining;Mathematical models;Bayesian neural networks (NNs);latent factor;price prediction model;used car,IEEE,"Implements a Commitment Machine metaheuristic to adaptively select and combine Expected Shortfall estimation methods using machine learning, enhancing financial risk assessment.",✔️,Portfolio Expected Shortfall,✔️,✔️
https://doi.org/10.1088/1742-6596/2287/1/012018,A Machine Learning Model for Healthcare Stocks Forecasting in the US Stock Market during COVID-19 Period,"This paper study the nowcasting and forecasting for the healthcare stock price in the united states during the Covid-19 period including the google trend data information. The data is collected in monthly data from 2015 to 2020 which are five interested stock price indexes in the healthcare sector. Empirically, the finding reveals that the Bayesian structural time series analysis can be used to investigate the stock price indexes with the google trend data is becoming useful for the prediction in term of current movement. In term of the machine learning algorithms, the unsupervised learning k-Mean algorithm is employed to cluster the cycle regimes of the stock market which provided three regimes such as Bull market, Sideways and Bear market. There are twenty-nine months stand for bull market, thirty-seven months are predictively provided sideways market and five months are referred as the bear market. Additionally, the supervised learning algorithms by using the Linear Discriminant Analysis (LDA), k-Nearest Neighbors (kNN) and Support vector machine (SVM) are used to investigate the cycle regimes of healthcare stock in next five year. The results indicated that LDA is chosen by the highest coefficient validation which represented the the regimes of stock in the healcare sector of the unites states of America will stay on the sideways periods in the next five years. Thus, the finding in this paper can be the useful information for investor to manage their portfolio especially, in healthcare sector during the Covid-19 period.",10.1088/1742-6596/2287/1/012018,,Proquest,"The paper develops machine learning models, including Bayesian structural time series and various classifiers, to forecast US healthcare stock prices during the COVID-19 period, aiding investment decisions.",✔️,Healthcare stocks in the US stock market,✔️,✔️
WOS:000657434500001,A New Deep Learning-Based Zero-Inflated Duration Model for Financial Data Irregularly Spaced in Time,"In stock trading markets, trade duration (i. e., inter-arrival times of trades) usually exhibits high uncertainty and excessive zero values. To forecast conditional distribution of trade duration, this study proposes a hybrid model called ""DL-ZIACD"" for short, which addresses the problem of excessive zero values by a zero-inflated distribution. Meanwhile, dynamics of the distribution time-varying parameters are captured by a specially designed deep learning (DL) architecture in which the behavioral patterns of large traders and small individual traders are represented separately by different blocks. The proposed hybrid model takes advantage of the strong fitting ability of deep learning methods while allowing for providing a probabilistic output. This paper empirically applied the established model to a large-scale dataset, containing 9,900,000 transactions of the Chinese Shenzhen Stock Exchange 100 Index (SZSE 100) constituents. To the best of our knowledge, no previous studies have applied conditional duration models to a dataset of such a large scale. For both the central location forecasting and the extreme quantile forecasting, our proposed model exhibited significant superiority over the benchmark models, which indicates that our DL-ZIACD model can provide accurate forecasts in conditional duration distribution.",10.3389/fphy.2021.651528,hybrid model; deep learning; conditional duration; tick data; distribution forecasting,WOS,"This paper introduces a deep learning-based zero-inflated duration model (DL-ZIACD) for forecasting trade durations in financial markets, effectively handling irregularly spaced data and excessive zeros, and outperforming benchmark models in accuracy for large-scale transaction datasets.",❌,,✔️,✔️
10.1109/ACCESS.2023.3308298,A New Framework for Fraud Detection in Bitcoin Transactions Through Ensemble Stacking Model in Smart Cities,"Bitcoin has a reputation of being used for unlawful activities, such as money laundering, dark web transactions, and payments for ransomware in the context of smart cities. Blockchain technology prevents illegal transactions, but cannot detect these transactions. Anomaly detection is a fundamental technique for recognizing potential fraud. The heuristic and signature-based approaches were the foundation of earlier detection techniques, but tragically, these methods were insufficient to explore the entire complexity of anomaly detection. Machine Learning (ML) is a promising approach to anomaly detection, as it can be trained on large datasets of known malware samples to identify patterns and features of the transactions. Researchers are focusing on determining an efficient fraud and security threat detection model that overcomes the drawbacks of the existing methods. Therefore, ensemble learning can be applied to anomaly detection in Bitcoin by combining multiple ML classifiers. In the proposed model, the ADASYN-TL (Adaptive Synthetic + Tomek Link) balancing technique is used for data balancing. Random search, grid search and Bayesian optimization are used for hyperparameter tuning. The hyperparameters have a great impact on the performance of the model. For classification, we used the stacking model by combining Decision Tree, Naive Bayes, K-Nearest Neighbors, and Random Forest. We used SHapley Additive exPlanation (SHAP) to interpret the predictions of the stacking model. The model also explores the performance of different classifiers using accuracy, F1-score, Area Under Curve-Receiver Operating Characteristic (AUC-ROC), precision, recall, False Positive Rate (FPR) and execution time, and ultimately selects the ideal model. The proposed model contributes to the development of effective fraud detection models that address the limitations of the existing algorithms. Our stacking model, which combines the prediction of multiple classifiers, achieved the highest F1-score of 97%, precision of 96%, recall of 98%, accuracy of 97%, AUC-ROC of 99% and FPR of 3%.  © 2013 IEEE.",10.1109/access.2023.3308298,Bitcoin transaction; hyperparameter tuning; machine learning; ransomware attack; smart cities; stacking model,SCOPUS,"The study develops an ensemble stacking model for fraud detection in Bitcoin transactions within smart cities, achieving high accuracy in identifying fraudulent activities.",❌,,✔️,❌
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9597552,A Nonlinear Autoregressive Exogenous (NARX) Neural Network Model for the Prediction of Timestamp Influence on Bitcoin Value,"The transaction and market of bitcoin is volatile, meaning it’s uncertain because it changes frequently. There have been a number of research studies that have presented bitcoin price prediction models, but none of them have looked at the controlling variables linked with bitcoin transaction timestamps. It might be that price is not the only key criteria influencing bitcoin transactions, or the available model for bitcoin price prediction is yet to consider timestamp as a determining factor in its transaction. A better and more accurate model would be required to predict how the Timestamp influences changes of bitcoin transactions. That is why this current study utilized a Nonlinear Autoregressive Exogenous (NARX) Neural Network Model for the prediction of timestamp influence on Bitcoin value. Bitcoin historical datasets which are converted to a nonlinear regression into a “well-formulated” statistical problem in the manner of a ridge regression are used. Simulation analysis indicates that bitcoin digital currency’s performance variation is highly influenced by its transaction timestamp with the prediction accuracy of 96%. The contributions of this research lies with the fact that specific Bitcoin transaction events repeat themselves over and over again, meaning that the Open-Price, High-Price, Low-Price, and Close-Price of Bitcoin price over timestamp developed a pattern that was predicted by NARX with less That means those involved in the transaction of bitcoin at the wrong timestamp will certainly face the uncertainty negative effect of the bitcoin market.",10.1109/access.2021.3124629,Bitcoin;Predictive models;Uncertainty;Bayes methods;Online banking;Computer science;Social networking (online);Bitcoin (digital currency);volume of BTC;bitcoin;timestamp,IEEE,"The study employs a NARX neural network to predict the influence of timestamps on Bitcoin value, achieving high accuracy by identifying recurring transaction patterns.",✔️,Bitcoin,✔️,❌
WOS:001140460100001,A Novel Deterministic Probabilistic Forecasting Framework for Gold Price with a New Pandemic Index Based on Quantile Regression Deep Learning and Multi-Objective Optimization,"The significance of precise gold price forecasting is accentuated by its financial attributes, mirroring global economic conditions, market uncertainties, and investor risk aversion. However, predicting the gold price is challenging due to its inherent volatility, influenced by multiple factors, such as COVID-19, financial crises, geopolitical issues, and fluctuations in other metals and energy prices. These complexities often lead to non-stationary time series, rendering traditional time series modeling methods inadequate. Our paper presents a multi-objective optimization algorithm that refines the interval prediction framework with quantile regression deep learning in response to this issue. This framework comprehensively responds to gold's financial market dynamics and uncertainties with a screening process of various factors, including pandemic-related indices, geopolitical indices, the US dollar index, and prices of various commodities. The quantile regression deep-learning models optimized by multi-objective optimization algorithms deliver robust, interpretable, and highly accurate predictions for handling non-linear relationships and complex data structures and enhance the overall predictive performance. The results demonstrate that the QRBiLSTM model, optimized using the MOALO algorithm, delivers excellent forecasting performance. The composite indicator AIS reaches -15.6240 and -11.5581 at 90% and 95% confidence levels, respectively. This underscores the model's high forecasting accuracy and its potential to provide valuable insights for assessing future trends in gold prices. The deterministic and probabilistic forecasting framework for gold prices captures the market dynamics with the new pandemic index and comprehensively sets a new benchmark for predictive modeling in volatile market commodities like gold.",10.3390/math12010029,gold price forecasting; quantile regression; probabilistic prediction models; feature screening; multi-objective optimization algorithms,WOS,"Proposes a manifold learning-based framework with regression models to forecast high-dimensional time series, applied to foreign exchange rates.",✔️,Foreign Exchange Rates,✔️,❌
10.25728/assa.2023.23.01.1251,A Novel Method for Predicting Technology Trends Based on Processing Multiple Data Sources,"In order to gain competing capability in conditions of quickly scientific changes, it is crucial to track the evolution of existing technologies and to explore promising and emerging technologies. Moreover, numerous previous studies showed that sudden changes in R&D and patents are actually correlated with great variations in the market profit of firms. For this reason, if stock prices of an enterprise keep uptrend, then the technologies developed by considered one will be likely to become promising innovations in future. In this paper, we proposed a method to predict technology trends based on processing multiple data sources by mining Web news, forecasting stock price trends of high-tech companies, and patent clustering analysis. Different from other studies, our proposed method promotes an idea of predicting technology trends by forecasting stock price trend using univariate and multivariate data preparation approaches, with the utilization of Bayesian optimization for exploring best hyperparameters of machine/deep learning models, also a new method for patent analysis. Besides, a program system was created for analyzing word burst detection, predicting trend of stock prices, and analyzing patent applications. After collecting patents of Samsung Electronics Co Ltd, as a case study, clustering analysis is implemented on extracted noun phrases to explore technology trends developed by the company. These technology trends have recently been confirmed by domain experts in their corresponding published articles. The obtained forecast precision is about 93.8%, which proves that the proposed method gains positive reliability. © 2023 ASSA.",10.25728/assa.2023.23.01.1251,Bayesian optimization; clustering analysis; deep learning; extraction; machine learning; patent analysis; Samsung; stock price; technology forecast; Web news,SCOPUS,"Proposes a method to predict technology trends by integrating web news mining, stock price trend forecasting using Bayesian optimization, and patent clustering analysis, achieving high forecast precision.",❌,?,✔️,?
10.1007/s40031-018-0343-7,A Novel Model for Stock Price Prediction Using Hybrid Neural Network,"The foremost challenge for investors is to select stock price by analyzing financial data which is a menial task as of distort associated and massive pattern. Thereby, selecting stock poses one of the greatest difficulties for investors. Nowadays, prediction of financial market like stock market, exchange rate and share value are very challenging field of research. The prediction and scrutinization of stock price is also a potential area of research due to its vital significance in decision making by financial investors. This paper presents an intelligent and an optimal model for prophecy of stock market price using hybridization of Adaline Neural Network (ANN) and modified Particle Swarm Optimization (PSO). The connoted model hybrid of Adaline and PSO uses fluctuations of stock market as a factor and employs PSO to optimize and update weights of Adaline representation to depict open price of Bombay stock exchange. The prediction performance of the proposed model is compared with different representations like interval measurements, CMS-PSO and Bayesian-ANN. The result indicates that proposed scheme has an edge over all the juxtaposed schemes in terms of mean absolute percentage error. © 2018, The Institution of Engineers (India).",10.1007/s40031-018-0343-7,Artificial Intelligence; Data mining; Neural network; Prediction; Soft computing; Stock market,SCOPUS,"This paper introduces a hybrid neural network model combining Adaline Neural Network and Particle Swarm Optimization to predict stock prices of the Bombay Stock Exchange, demonstrating improved accuracy over existing methods.",✔️,Stock,✔️,❌
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356151,A Stochastic HMM-Based Forecasting Model for Fuzzy Time Series,"Recently, fuzzy time series have attracted more academic attention than traditional time series due to their capability of dealing with the uncertainty and vagueness inherent in the data collected. The formulation of fuzzy relations is one of the key issues affecting forecasting results. Most of the present works adopt IF-THEN rules for relationship representation, which leads to higher computational overhead and rule redundancy. Sullivan and Woodall proposed a Markov-based formulation and a forecasting model to reduce computational overhead; however, its applicability is limited to handling one-factor problems. In this paper, we propose a novel forecasting model based on the hidden Markov model by enhancing Sullivan and Woodall's work to allow handling of two-factor forecasting problems. Moreover, in order to make the nature of conjecture and randomness of forecasting more realistic, the Monte Carlo method is adopted to estimate the outcome. To test the effectiveness of the resulting stochastic model, we conduct two experiments and compare the results with those from other models. The first experiment consists of forecasting the daily average temperature and cloud density in Taipei, Taiwan, and the second experiment is based on the Taiwan Weighted Stock Index by forecasting the exchange rate of the New Taiwan dollar against the U.S. dollar. In addition to improving forecasting accuracy, the proposed model adheres to the central limit theorem, and thus, the result statistically approximates to the real mean of the target value being forecast.",10.1109/tsmcb.2009.2036860,Stochastic processes;Hidden Markov models;Predictive models;Fuzzy sets;Fuzzy logic;Uncertainty;Atmospheric measurements;Pollution measurement;Time measurement;Information management;Forecasting;fuzzy time series;hidden Markov model (HMM);Monte Carlo method,IEEE,"The paper develops a stochastic hidden Markov model-based forecasting method for fuzzy time series, applying it to weather and exchange rate data, improving forecasting accuracy.",✔️,New Taiwan dollar/USD exchange rate,❌,✔️
