PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Salama, R				Salama, Reda			Integrating spotted hyena optimization technique with generative artificial intelligence for time series forecasting	EXPERT SYSTEMS				Article; Early Access						artificial intelligence; generative adversarial network; spotted hyena optimization; stock market prediction; time series forecasting		Generative artificial intelligence (AI) has developed as an effective tool for time series predicting, revolutionizing the typical methods of prediction. Different classical approaches that depend on existing approaches and assumptions, generative AI controls advanced deep learning (DL) approaches like generative adversarial networks (GANs) and recurrent neural networks (RNNs), to identify designs and connections in time series data. DL has accomplished major success in optimizing performances connected with AI. In the financial area, it can be extremely utilized for the stock market predictive, trade implementation approaches, and set of optimizers. Stock market predictive is the most important use case in this field. GANs with advanced AI approaches have become more significant in recent times. However, it can be utilized in image-image-translation and other computer vision (CV) conditions. GANs could not utilized greatly for stock market prediction because of their effort to establish the proper set of hyperparameters. This study develops an integrated spotted hyena optimization algorithm with generative artificial intelligence for time series forecasting (SHOAGAI-TSF) technique. The purpose of the SHOAGAI-TSF technique is to accomplish a forecasting process for the utilization of stock price prediction. The SHOAGAI-TSF technique uses probabilistic forecasting with a conditional GAN (CGAN) approach for the prediction of stock prices. The CGAN model learns the data generation distribution and determines the probabilistic prediction from it. To boost the prediction results of the CGAN approach, the hyperparameter tuning can be performed by the use of the SHOA. The simulation result analysis of the SHOAGAI-TSF technique takes place on the stock market dataset. The experimental outcomes determine the significant solution of the SHOAGAI-TSF algorithm with other compared methods in terms of distinct metrics.	[Salama, Reda] King Abdulaziz Univ, Fac Comp & Informat Technol, Informat Technol Dept, Jeddah 21589, Saudi Arabia		Salama, R (corresponding author), King Abdulaziz Univ, Fac Comp & Informat Technol, Informat Technol Dept, Jeddah 21589, Saudi Arabia.	rkhalifa@kau.edu.sa	Salama, Reda/O-5967-2014							0	0											2024 AUG 1	2024										10.1111/exsy.13681	http://dx.doi.org/10.1111/exsy.13681		AUG 2024										2024-10-15	WOS:001281386400001
J	Sen, A; Choudhury, KD				Sen, Abhibasu; Choudhury, Karabi Dutta			A case study of Gulf Securities Market in the last 20 years: A Long Short-Term Memory approach	STATISTICA NEERLANDICA				Article						deep learning; hyperparameter optimization; LSTM; Middle East markets; stock market prediction	PRICE	Various researches have been conducted on forecasting stock prices. Several tools ranging from statistical techniques to quantitative methods have been used by researchers to forecast the market. But so far, very little research has been done on forecasting the stock markets of the Gulf countries such as Saudi Arabia, United Arab Emirates, Oman, Kuwait, Bahrain, and Qatar. Our approach is to predict the market indices of the Gulf countries using Long Short-Term Memory (LSTM) techniques. Thereafter, we optimized the hyperparameters of the LSTM technique using various optimization methods such as Grid Search and Bayesian Optimization with Gaussian Process and found out the best-suited hyperparameter for the LSTM model. We tried the LSTM method for predicting the indices using data from the last twenty years.	[Sen, Abhibasu; Choudhury, Karabi Dutta] Assam Univ, Dept Math, Silchar, Assam, India; [Sen, Abhibasu] Assam Univ, Dept Math, Silchar 788011, Assam, India		Sen, A (corresponding author), Assam Univ, Dept Math, Silchar 788011, Assam, India.	abhibasusen@gmail.com	Sen, Abhibasu/IYS-2225-2023	Sen, Abhibasu/0000-0002-0836-7224						1	1											FEB	2024	78	1					136	166		10.1111/stan.12309	http://dx.doi.org/10.1111/stan.12309		JUN 2023										2024-10-15	WOS:001009666300001
J	Vincent, AMP; Salleh, H				Vincent, Assunta Malar Patrick; Salleh, Hassilah			Improving Stock Price Forecasting Accuracy with Stochastic Multilayer Perceptron	MALAYSIAN JOURNAL OF FUNDAMENTAL AND APPLIED SCIENCES				Article						Forecasting stock price; deep learning; multilayer perceptron; stochastic multilayer perceptron	NEURAL-NETWORKS; SAMPLE	The stock market operates in a stochastic environment, making accurate price forecasting challenging. To address this issue, a stochastic multilayer perceptron (S-MLP) model has been developed to simulate the stock market's stochastic nature. By incorporating a Gaussian process into the sigmoid activation function, this model incorporates stochasticity into the traditional multilayer perceptron (MLP). As the perturbation factor, a stochastic sigmoid activation function (SAF) with a volatility estimator is used. Although S-MLP has demonstrated superiority over MLP, there is still room for improvement in terms of forecasting precision. In this study, we propose S-MLP with a trainable perturbation factor (S-MLPT), an improved variant of SMLP. SAF employs the Yang-Zhang volatility estimator as the perturbation factor. The proposed model first employed MLP, and all the parameters were trained. After freezing the parameters, SMLP is used to train the perturbation factor in the SAF. To evaluate the predictive performance of the models, MLP, S-MLP, and S-MLPT are used to predict the one day ahead highest stock price of four counters listed in Bursa Malaysia. As an evaluation metric, the coefficient of determination is utilised, and the relative percentage improvement of the models is calculated to determine their superiority. The results demonstrated that S-MLP outperforms MLP by effectively minimizing the loss function and converging towards a better local or global minimum during training. In conclusion, S-MLPT exhibits even better performance than S-MLP, with relative percentage improvements of 0.14%, 15.45%, and 0.48% for counters 0166.KL, 2445.KL, and 4707.KL, respectively.	[Vincent, Assunta Malar Patrick; Salleh, Hassilah] Univ Malaysia Terengganu, Fac Comp Sci & Math, Kuala Nerus 21030, Terengganu, Malaysia		Salleh, H (corresponding author), Univ Malaysia Terengganu, Fac Comp Sci & Math, Kuala Nerus 21030, Terengganu, Malaysia.	hassilah@umt.edu.my								0	0											JUL-AUG	2024	20	4					914	922		10.11113/mjfas.v20n4.3497	http://dx.doi.org/10.11113/mjfas.v20n4.3497												2024-10-15	WOS:001316679800001
J	Polamuri, SR; Srinivas, K; Mohan, AK				Polamuri, Subba Rao; Srinivas, Kudipudi; Mohan, A. Krishna			Multi-Model Generative Adversarial Network Hybrid Prediction Algorithm (MMGAN-HPA) for stock market prices prediction	JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES				Article						Deep learning; Generative Adversarial Network (GAN); Recurrent Neural Network (RNN); Convolutional Neural Network (CNN); Stock market analysis	CONVOLUTIONAL NEURAL-NETWORKS	Deep learning has achieved greater success in optimizing solutions associated with Artificial Intelligence (AI). In the financial domain, it is widely used for stock market prediction, trade execution strategies and portfolio optimization. Stock market prediction is a very significant use case in this domain. Generative Adversarial Networks (GANs) with advanced AI models have gained significance of late. However, it is used in image-image-translation and other computer vision scenarios. GANs are not used much for stock market prediction due to its difficulty in setting the right set of hyperparameters. In this paper, overcome this problem with reinforcement learning and Bayesian optimization. A deep learning framework based on GAN, named Stock-GAN, is implemented with generator and discriminator. The former is realized with LSTM, a variant of Recurrent Neural Network (RNN), while the latter uses Convolutional Neural Network. An algorithm named Generative Adversarial Network based Hybrid Prediction Algorithm (GAN-HPA) is proposed. An empirical study revealed that Stock-GAN achieves promising performance in stock price prediction when compared with the state of the art model known as Multi-Model based Hybrid Prediction Algorithm (MM-HPA). Afterwards, MM-HPA and GAN-HPA combined to form yet another hybrid model known as MMGAN-HPA for improved performance over MM-HPA and GAN-HPA.(c) 2021 The Authors. Published by Elsevier B.V. on behalf of King Saud University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).	[Polamuri, Subba Rao] Dept CSE, JNTUK, Kakinada, Andhra Pradesh, India; [Srinivas, Kudipudi] V R Siddhartha Engn Coll, Dept CSE, Vijayawada, Andhra Pradesh, India; [Mohan, A. Krishna] JNTUK, Dept CSE, UCEK, Kakinada, Andhra Pradesh, India		Polamuri, SR (corresponding author), Dept CSE, JNTUK, Kakinada, Andhra Pradesh, India.	psr.subbu546@gmail.com; vrdrks@gmail.com; krishna.ankala@gmail.com	Kudipudi, Srinivas/JBR-9171-2023; POLAMURI, SUBBA/AAJ-1084-2021	Srinivas, Dr. Pattlola/0000-0002-5723-396X; Srinivas, Kudipudi/0000-0003-4714-1380						22	22											OCT	2022	34	9					7433	7444		10.1016/j.jksuci.2021.07.001	http://dx.doi.org/10.1016/j.jksuci.2021.07.001												2024-10-15	WOS:000870513100007
J	Chandra, R; He, YX				Chandra, Rohitash; He, Yixuan			Bayesian neural networks for stock price forecasting before and during COVID-19 pandemic	PLOS ONE				Article							PREDICTION; MARKET	Recently, there has been much attention in the use of machine learning methods, particularly deep learning for stock price prediction. A major limitation of conventional deep learning is uncertainty quantification in predictions which affect investor confidence. Bayesian neural networks feature Bayesian inference for providing inference (training) of model parameters that provides a rigorous methodology for uncertainty quantification in predictions. Markov Chain Monte Carlo (MCMC) sampling methods have been prominent in implementing inference of Bayesian neural networks; however certain limitations existed due to a large number of parameters and the need for better computational resources. Recently, there has been much progress in the area of Bayesian neural networks given the use of Langevin gradients with parallel tempering MCMC that can be implemented in a parallel computing environment. The COVID-19 pandemic had a drastic impact in the world economy and stock markets given different levels of lockdowns due to rise and fall of daily infections. It is important to investigate the performance of related forecasting models during the COVID-19 pandemic given the volatility in stock markets. In this paper, we use novel Bayesian neural networks for multi-step-ahead stock price forecasting before and during COVID-19. We also investigate if the pre-COVID-19 datasets are useful of modelling stock price forecasting during COVID-19. Our results indicate due to high volatility in the stock-price during COVID-19, it is more challenging to provide forecasting. However, we found that Bayesian neural networks could provide reasonable predictions with uncertainty quantification despite high market volatility during the first peak of the COVID-19 pandemic.	[Chandra, Rohitash; He, Yixuan] Univ New South Wales, Sch Math & Stat, Sydney, NSW, Australia		Chandra, R (corresponding author), Univ New South Wales, Sch Math & Stat, Sydney, NSW, Australia.	rohitash.chandra@unsw.edu.au	Chandra, Rohitash/D-5748-2015	Chandra, Rohitash/0000-0001-6353-1464						23	24												2021	16	7							e0253217	10.1371/journal.pone.0253217	http://dx.doi.org/10.1371/journal.pone.0253217												2024-10-15	WOS:000668791400038
J	Basak, GK; Das, PK; Marjit, S; Mukherjee, D; Yang, L				Basak, Gopal K.; Das, Pranab Kumar; Marjit, Sugata; Mukherjee, Debashis; Yang, Lei			The British Stock Market, currencies, brexit, and media sentiments: A big data analysis	NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE				Article						Media sentiment; British Stock Market; British currency; Brexit; Machine learning	UNCERTAINTY	In this study, we use a machine learning framework and draw on an extensive body of media articles on Brexit to provide evidence of cointegration and causality between the sentiments of the media and the movement of British currency. Our contribution to the literature is novel. In addition to applying lexicons commonly used in sentiment analysis, we devise a method using Bayesian learning to create a more context-aware and informative lexicon for Brexit. By leveraging and extending this method, we reveal the relationship between original media senti-ment and related economic and financial variables. Our method is a distinct improvement over existing methods and can better predict out-of-sample outcomes than conventional ones.	[Basak, Gopal K.] Indian Stat Inst, Kolkata, India; [Das, Pranab Kumar] Ctr Studies Social Sci, Kolkata, India; [Marjit, Sugata; Mukherjee, Debashis] Indian Inst Foreign Trade IIFT, Kolkata Campus, New Delhi, India; [Yang, Lei] CESifo, Munich, Germany; [Yang, Lei] Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China		Yang, L (corresponding author), Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China.	aflei.yang@polyu.edu.hk								3	3											JAN	2023	64								101861	10.1016/j.najef.2022.101861	http://dx.doi.org/10.1016/j.najef.2022.101861		JAN 2023										2024-10-15	WOS:000915922500001
J	Chen, YJ; Hao, YT				Chen, Yingjun; Hao, Yongtao			A feature weighted support vector machine and K-nearest neighbor algorithm for stock market indices prediction	EXPERT SYSTEMS WITH APPLICATIONS				Article						Feature weighted SVM (FWSVM); Information gain; Feature weighted K-nearest neighbor (FWKNN); Stock market indices	NEURAL-NETWORK; BAYESIAN-ANALYSIS; SELECTION MODEL; DECISION TREE; PRICE; PERFORMANCE; SYSTEM; GA	This study investigates stock market indices prediction that is an interesting and important research in the areas of investment and applications, as it can get more profits and returns at lower risk rate with effective exchange strategies. To realize accurate prediction, various methods have been tried, among which the machine learning methods have drawn attention and been developed. In this paper, we propose a basic hybridized framework of the feature weighted support vector machine as well as feature weighted K-nearest neighbor to effectively predict stock market indices. We first establish a detailed theory of feature weighted SVM for the data classification assigning different weights for different features with respect to the classification importance. Then, to get the weights, we estimate the importance of each feature by computing the information gain. Lastly, we use feature weighted K-nearest neighbor to predict future stock market indices by computing k weighted nearest neighbors from the historical dataset. Experiment results on two well known Chinese stock market indices like Shanghai and Shenzhen stock exchange indices are finally presented to test the performance of our established model. With our proposed model, it can achieve a better prediction capability to Shanghai Stock Exchange Composite Index and Shenzhen Stock Exchange Component Index in the short, medium and long term respectively. The proposed algorithm can also be adapted to other stock market indices prediction. (C) 2017 Elsevier Ltd. All rights reserved.	[Chen, Yingjun; Hao, Yongtao] Tongji Univ, Dept Comp Sci & Technol, Shanghai 201804, Peoples R China		Hao, YT (corresponding author), Tongji Univ, Dept Comp Sci & Technol, Shanghai 201804, Peoples R China.	cxue2006@126.com; haoyt@vip.sina.com	Hao, Yongtao/AAJ-8773-2020	hao, yongtao/0000-0001-8738-7866						189	206											SEP 1	2017	80						340	355		10.1016/j.eswa.2017.02.044	http://dx.doi.org/10.1016/j.eswa.2017.02.044												2024-10-15	WOS:000400717200027
J	Houssein, EH; Dirar, M; Hussain, K; Mohamed, WM				Houssein, Essam H.; Dirar, Mahmoud; Hussain, Kashif; Mohamed, Waleed M.			Assess deep learning models for Egyptian exchange prediction using nonlinear artificial neural networks	NEURAL COMPUTING & APPLICATIONS				Article						Artificial neural networks; Autoregressive; Bayesian regularization; Deep learning; Egyptian stock market; Levenberg-Marquardt; Stock price prediction	STOCK-MARKET PREDICTION; INDEXES; ALGORITHM	Financial analysis of the stock market using the historical data is the exigent demand in business and academia. This work explores the efficiency of three deep learning (Dl) techniques, namely Bayesian regularization (BE), Levenberg-Marquardt (lM), and scaled conjugate gradient (SCG), for training nonlinear autoregressive artificial neural networks (NARX) for predicting specifically the closing price of the Egyptian Stock Exchange indices (EGX-30, EGX-30-Capped, EGX-50-EWI, EGX-70, EGX-100, and NIlE). An empirical comparison is established among the experimented prediction models considering all techniques for the time horizon of 1 day, 3 days, 5 days, 7 days, 5 days and 30 days in advance, applying on all the datasets used in this study. For performance evaluation, statistical measures such as mean squared error (MSE) and correlationRare used. From the simulation result, it can be clearly suggested that BR outperforms other models for short-term prediction especially for 3 days ahead. On the other hand, lM generates better prediction accuracy than BR- and SCG-based models for long-term prediction, especially for 7-day prediction.	[Houssein, Essam H.; Dirar, Mahmoud; Mohamed, Waleed M.] Minia Univ, Fac Comp & Informat, Al Minya, Egypt; [Hussain, Kashif] Univ Elect Sci & Technol China, Inst Fundamental & Frontier Sci, Chengdu, Sichuan, Peoples R China		Houssein, EH (corresponding author), Minia Univ, Fac Comp & Informat, Al Minya, Egypt.	essam.halim@mu.edu.eg; mahmoddirar@mu.edu.eg; k.hussain@uestc.edu.cn; waleedmakram@minia.edu.eg	Mohamed, Assoc. prof. Waleed/ACS-6284-2022; Hussain, Kashif/AAH-2982-2019; Halim Houssein, Essam/C-8941-2016	Dirar, Mahmoud/0000-0001-5758-9344; Makram Mohamed, Waleed/0000-0002-2516-5800; Halim Houssein, Essam/0000-0002-8127-7233						13	13											JUN	2021	33	11					5965	5987		10.1007/s00521-020-05374-9	http://dx.doi.org/10.1007/s00521-020-05374-9		SEP 2020										2024-10-15	WOS:000572871900002
J	Reddi, SK; Babu, CR				Reddi, Sowmya Kethi; Babu, Ch Ramesh			Meta-Heuristic-Based Hybrid Resnet with Recurrent Neural Network for Enhanced Stock Market Prediction	INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES				Article						Hybrid Deep Learning; Probabilistic Spider Monkey Optimization; Recurrent Neural Network; Resnet	OPTIMIZATION	This paper is to design a new hybrid deep learning model for stock market prediction. Initially, the collected stock market data from the benchmark sources are pre-processed using empirical wavelet transform (EWT). This pre-processed data is subjected to the prediction model based on hybrid deep learning approach by adopting Resnet and recurrent neural network (RNN). Here, the fully connected layer of Resnet is replaced with the RNN. In both the Resnet and RNN structures, the parameter is optimized using the probabilistic spider monkey optimization (P-SMO) for attaining accurate prediction. When analyzing the proposed P-SMO-ResRNN, it secures 6.27%, 12.26%, 15.13%, 13.61%, and 14.10% more than RNN, DNN, NN, KNN, and SVM, respectively, regarding the MASE analysis. Hence, the proposed model shows enhanced performance. With the elaborated model and estimation of prediction term based on several analyses, this work supports the stock analysis research community.	[Reddi, Sowmya Kethi] Chaitanya Bharathi Inst Technol, Sch Management Studies, Hyderabad, India; [Babu, Ch Ramesh] Lords Inst Engn & Technol, CSE Dept, Hyderabad, India		Reddi, SK (corresponding author), Chaitanya Bharathi Inst Technol, Sch Management Studies, Hyderabad, India.	ksowmya_sms@cbit.ac.in; chramesh522@gmail.com	Kethi Reddi, Sowmya/ABV-1693-2022							0	0												2022	13	1					1	28		10.4018/IJDST.307152	http://dx.doi.org/10.4018/IJDST.307152												2024-10-15	WOS:001133356400001
J	Akram, T; Ramakrishnan, SA; Naveed, M				Akram, Tooba; Ramakrishnan, Suresh A., I; Naveed, Muhammad			Prevalence of money laundering and terrorism financing through stock market: a comprehensive conceptual review paper	JOURNAL OF MONEY LAUNDERING CONTROL				Review						Money laundering; FATF; Stock market; Terrorism financing; Due diligence; Insider trading		Purpose This paper aims to provide a comprehensive conceptual framework and strong arguments with an intent to examine the stock market variables (predictors) indicating the money laundering (ML) and terrorism financing (FT) proceeds. Design/methodology/approach This paper provides a comprehensive review of ML/FT through the stock market across developed, developing and emerging jurisdictions, sheds light on the existing literature and critically evaluates the gap in the relevant studies. Moving forward, this paper develops the conceptual framework and formulates hypotheses to explore the empirical relationship. Findings This paper advocates and finds a basis to carry out much-needed empirical research between the ML/FT and stock market keeping in view the growing criminal cases in the developing countries. This paper suggests mining proxies from the publically available stock market data and the results of existing seminal research as variables of the study. These data and results carry information about the ML determinants. After developing hypothetical research providing concepts, this paper also finds that using a suitable methodology, preferable Bayesian logistic and linear regression models, it is possible to find the typologies and factors that can indicate and endorse the use of the stock market for ML/FT. Broadly, it is found that the significance of this study will be two-pronged: empirical development and policy implications. Research limitations/implications This paper mainly focuses on the developing region, a newly emerging market and, peculiarly, a grey-listed region by the Financial Action Task Force (FATF). Practical implications In light of the existing literature and to the best of the researchers' knowledge, this study will bring into focus the new age of the action research on the ML regime in the securities markets of the developing countries, hence, the emerging markets. Moreover, this research shall have a sheer significance for the policy measures on FATF recommendations on ML and FT, especially for the countries listed as "grey". Social implications The research based on comprehensive review will help in controlling the social behaviours aiding the proceeds of ML. Originality/value This research is extremely novel to the best of the researcher's knowledge.	[Akram, Tooba; Ramakrishnan, Suresh A., I] Univ Teknol Malaysia UTM, Azman Hashim Int Business Sch AHIBS, Johor Baharu, Malaysia; [Naveed, Muhammad] Bahria Univ Islamabad, Bahria Business Sch, Islamabad, Pakistan		Akram, T (corresponding author), Univ Teknol Malaysia UTM, Azman Hashim Int Business Sch AHIBS, Johor Baharu, Malaysia.	akramtooba@graduate.utm.my	Muhammad, Naveed/T-4703-2017; Akram, Tooba/GSO-1233-2022	Akram, Tooba/0000-0002-7039-1591						0	1											NOV 22	2023	26	5					1027	1044		10.1108/JMLC-06-2022-0094	http://dx.doi.org/10.1108/JMLC-06-2022-0094		SEP 2022										2024-10-15	WOS:000853367800001
J	Leng, JL; Liu, W; Guo, Q				Leng, Jielin; Liu, Wei; Guo, Qiang			Stock movement prediction model based on gated orthogonal recurrent units	INTELLIGENT SYSTEMS WITH APPLICATIONS				Article						Stock movement prediction; Deep neural network; Gated orthogonal recurrent unit; Text information encoding; Variational inference	NEURAL-NETWORK; HYBRID MODEL; SENTIMENT; INDEX	Stock movement prediction has received growing interest in the deep learning community. However, the generalization ability of some existing prediction models is weak due to the highly stochastic property of stock market, and some models suffer from the problem of gradient explosion or gradient vanishing in the training process. To solve the above issues, in this paper, we propose a novel stock movement prediction model based on gated orthogonal recurrent units (GORU) and variational auto-encoder (VAE). Specifically, GORU encodes the text information, and then VAE infers and decodes the market information formed by concatenating encoded text information with normalized historical price information. Meanwhile, orthogonality introduced by GORU can alleviate the problem of gradient explosion or gradient vanishing and enhance the generalization ability of the model. We evaluate the relative contributions of text information and historical prices with respect to prediction accuracy by the results of an ablation study. The experimental results on publicly available datasets show that the proposed model is better than several state-of-the-art models, which indicates that the GORU and VAE can effectively improve the model's generalization ability and accuracy for predicting stock trends.	[Leng, Jielin; Guo, Qiang] Shandong Univ Finance & Econ, Sch Comp Sci & Technol, Jinan 250014, Peoples R China; [Liu, Wei] Shandong Univ Finance & Econ, Sch Business Adm, Jinan 250014, Peoples R China; [Guo, Qiang] Shandong Prov Lab Future Intelligence & Financial, Yantai 264005, Peoples R China		Guo, Q (corresponding author), Shandong Univ Finance & Econ, Sch Comp Sci & Technol, Jinan 250014, Peoples R China.	guoqiang@sdufe.edu.cn	Guo, Qiang/I-2949-2019	Guo, Qiang/0000-0003-4219-3528						3	3											NOV	2022	16								200156	10.1016/j.iswa.2022.200156	http://dx.doi.org/10.1016/j.iswa.2022.200156												2024-10-15	WOS:001306875600008
J	Kim, SH; Chun, SH				Kim, SH; Chun, SH			Graded forecasting using an array of bipolar predictions: application of probabilistic neural networks to a stock market index	INTERNATIONAL JOURNAL OF FORECASTING				Article						forecasting system; artificial intelligence; financial market forecasting		To an increasing extent over the past decade, software learning methods including neural networks have been used for prediction in financial markets and other areas. By far the most popular type of neural network has been backpropagation. However, the advantages of other learning techniques such as the swift response of the probabilistic neural network (PNN) suggest the desirability of adapting other models to the predictive function. Unfortunately, the conventional architecture for probabilistic neural networks yields only a bipolar output corresponding to Yes or No; Up or Down. This limitation may be circumvented in part by using a graded forecast of multiple discrete values. More specifically, the approach involves an architecture comprising an array of elementary PNNs with bipolar output. This paper explores a number of interrelated topics: (1) presentation of a new architecture for graded forecasting using an arrayed probabilistic network (APN); (2) use of a "mistake chart" to compare the accuracy of learning systems against default performance based on a constant prediction; and (3) evaluation of several backpropagation models against a recurrent neural network (RNN) as well as PNN, APN, and case based reasoning. These concepts are investigated against the backdrop of a practical application involving the prediction of a stock market index. (C) 1998 Elsevier Science B.V. All rights reserved.	Korea Adv Inst Sci & Technol, Grad Sch Management, Seoul, South Korea		Kim, SH (corresponding author), Korea Adv Inst Sci & Technol, Grad Sch Management, Seoul, South Korea.									73	78											SEP	1998	14	3					323	337		10.1016/S0169-2070(98)00003-X	http://dx.doi.org/10.1016/S0169-2070(98)00003-X												2024-10-15	WOS:000075842000003
J	Gunduz, H				Gunduz, Hakan			An efficient stock market prediction model using hybrid feature reduction method based on variational autoencoders and recursive feature elimination	FINANCIAL INNOVATION				Article						Stock market prediction; Variational autoencoder; Recursive feature elimination; Long-short term memory; Borsa Istanbul; LightGBM	FEATURE-SELECTION; NEURAL-NETWORKS; CLASSIFIERS; DIRECTION	In this study, the hourly directions of eight banking stocks in Borsa Istanbul were predicted using linear-based, deep-learning (LSTM) and ensemble learning (LightGBM) models. These models were trained with four different feature sets and their performances were evaluated in terms of accuracy and F-measure metrics. While the first experiments directly used the own stock features as the model inputs, the second experiments utilized reduced stock features through Variational AutoEncoders (VAE). In the last experiments, in order to grasp the effects of the other banking stocks on individual stock performance, the features belonging to other stocks were also given as inputs to our models. While combining other stock features was done for both own (named as allstock_own) and VAE-reduced (named as allstock_VAE) stock features, the expanded dimensions of the feature sets were reduced by Recursive Feature Elimination. As the highest success rate increased up to 0.685 with allstock_own and LSTM with attention model, the combination of allstock_VAE and LSTM with the attention model obtained an accuracy rate of 0.675. Although the classification results achieved with both feature types was close, allstock_VAE achieved these results using nearly 16.67% less features compared to allstock_own. When all experimental results were examined, it was found out that the models trained with allstock_own and allstock_VAE achieved higher accuracy rates than those using individual stock features. It was also concluded that the results obtained with the VAE-reduced stock features were similar to those obtained by own stock features.	[Gunduz, Hakan] Bandirma Onyedi Eylul Univ, Software Engn Dept, TR-10200 Balikesir, Turkey		Gunduz, H (corresponding author), Bandirma Onyedi Eylul Univ, Software Engn Dept, TR-10200 Balikesir, Turkey.	hgunduz@bandirma.edu.tr	Gunduz, Hakan/ACM-8785-2022	Gunduz, Hakan/0000-0003-2152-5490						36	37											APR 21	2021	7	1							28	10.1186/s40854-021-00243-3	http://dx.doi.org/10.1186/s40854-021-00243-3												2024-10-15	WOS:000642153700001
J	Khandelwal, S; Gupta, P; Jain, A; Nehra, A; Yadav, GS; Kushwaha, R; Ramani, S				Khandelwal, Shubham; Gupta, Piyush; Jain, Aman; Nehra, Ajay; Yadav, Gyan Singh; Kushwaha, Riti; Ramani, Selvanambi			Machine learning-based probabilistic profitable model in algorithmic trading	JOURNAL OF ELECTRONIC IMAGING				Article						algorithmic trading; machine learning; technical analysis; trading strategy		Machine learning models are nowadays becoming ubiquitous in algorithmic trading and investment management. These models are mostly used in the pre-trade analysis phase to determine the buy or sell decisions using various machine learning techniques. We aim to implement a machine learning-driven approach using various technical indicators to predict stock market prices and then accordingly make a decision about buying or selling. First, an effective trading strategy is discussed that selects the potentially profitable stocks, and then the technical indicators such as simple moving average (SMA), exponential moving average (EMA), relative strength index (RSI), and moving average convergence divergence (MACD) are calculated for those potentially profitable stocks. Then supervised machine learning algorithms such as multiple linear regression, support vector machine regression, and decision tree regression are applied, where the close price of the stock is predicted using technical indicators for the next day, and based on that buy or sell signals are generated. The model is then tested on 12 different SNP500 stocks, one for every month in 2018, with the mean squared error (MSE) varying between 30.33 and 48.16 and the root MSE varying between 5.51 and 6.93, where the error is calculated on the difference in the number of days when the stock price actually increases and the predicted number of days for various models.	[Khandelwal, Shubham; Gupta, Piyush; Jain, Aman; Nehra, Ajay; Yadav, Gyan Singh] Indian Inst Informat Technol, Kota, India; [Kushwaha, Riti] Bennett Univ, Greater Noida, India; [Ramani, Selvanambi] Vellore Inst Technol, Vellore, India		Nehra, A (corresponding author), Indian Inst Informat Technol, Kota, India.	2019kucp1008@iiitkota.ac.in; 2019kucp1024@iiitkota.ac.in; 2019kucp1122@iiitkota.ac.in; ajay.cse@iiitkota.ac.in; gyansingh.cse@gmail.com; riti.kushwaha07@gmail.com; ramani.s@vit.ac.in	Kushwaha, Riti/AAR-1690-2021; Khandelwal, Shubham/AAF-9607-2019; Yadav, Gyan/T-3822-2019							1	1											JAN 1	2023	32	1							013039	10.1117/1.JEI.32.1.013039	http://dx.doi.org/10.1117/1.JEI.32.1.013039												2024-10-15	WOS:000965365700061
