"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the Economic Significance of Stock Market Prediction and the No Free Lunch Theorem","C. Bousoño-Calzón; J. Bustarviejo-Muñoz; P. Aceituno-Aceituno; J. J. Escudero-Garzás","Department of Signal Theory and Communications, Univ. Carlos III de Madrid, Leganés, Madrid, Spain; Department of Signal Theory and Communications, Univ. Carlos III de Madrid, Leganés, Madrid, Spain; Department of Business Administration and Management and Economics, Madrid Open University, Collado Villalba, Madrid, Spain; Department of Industrial and Systems Engineering, Texas A&M University, College Station, TX, USA",IEEE Access,"18 Jun 2019","2019","7","","75177","75188","Forecasting of stock market returns is a challenging research activity that is now expanding with the availability of new data sources, markets, financial instruments, and algorithms. At its core, the predictability of prices still raises important questions. Here, we discuss the economic significance of the prediction accuracy. To develop this question, we collect the daily series prices of almost half of the publicly traded companies around the world over a period of ten years and formulate some trading strategies based on their prediction. Proper visualization of these data together with the use of the No Free Lunch theoretical framework gives some unexpected results that show how the a priori less accurate algorithms and inefficient strategies can offer better results than the a priori best alternatives in some particular subsets of data that have a clear interpretation in terms of economic sectors and regions.","2169-3536","","10.1109/ACCESS.2019.2921092","Universidad Carlos III de Madrid(grant numbers:2013/00199/002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8731844","Stock market;economic significance;forecasting;prediction algorithm;trading strategies;extended Bayesian framework;no free lunch theorem;support vector machines;big data;visualization","Prediction algorithms;Companies;Support vector machines;Databases;Stock markets;Data visualization","","15","","56","OAPA","5 Jun 2019","","","IEEE","IEEE Journals"
"Cost-Sensitive Prediction of Stock Price Direction: Selection of Technical Indicators","Y. Alsubaie; K. E. Hindi; H. Alsalman","Department of Computer Science, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, King Saud University, Riyadh, Saudi Arabia",IEEE Access,"17 Oct 2019","2019","7","","146876","146892","Stock market forecasting using technical indicators (TIs) is widely applied by investors and researchers. Using a minimal number of input features is crucial for successful prediction. However, there is no consensus about what constitutes a suitable collection of TIs. The choice of TIs suitable for a given forecasting model remains an area of active research. This study presents a detailed investigation of the selection of a minimal number of relevant TIs with the aim of increasing accuracy, reducing misclassification cost, and improving investment return. Fifty widely used TIs were ranked using five different feature selection methods. Experiments were conducted using nine classifiers, with several feature selection methods and various alternatives for the number of TIs. A proposed cost-sensitive fine-tuned naïve Bayes classifier managed to achieve better overall investment performance than other classifiers. Experiments were conducted on datasets consisting of daily time series of 99 stocks and the TASI market index.","2169-3536","","10.1109/ACCESS.2019.2945907","Deanship of Scientific Research, King Saud University(grant numbers:RG-1439-035); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8861031","Cost-sensitive;feature selection;machine learning;market trend;prediction;stock market;technical indicators","Training;Stock markets;Investment;Forecasting;Predictive models;Classification algorithms;Feature extraction","","26","","45","CCBY","7 Oct 2019","","","IEEE","IEEE Journals"
"Effective Exploitation of Macroeconomic Indicators for Stock Direction Classification Using the Multimodal Fusion Transformer","T. -W. Lee; P. Teisseyre; J. Lee","Department of Artificial Intelligence, Chung-Ang University, Seoul, South Korea; Institute of Computer Science, Polish Academy of Sciences, Warsaw, Poland; Department of Artificial Intelligence, Chung-Ang University, Seoul, South Korea",IEEE Access,"3 Feb 2023","2023","11","","10275","10287","An enormous ripple effect can occur in financial data mining if it accurately predicts stock prices. However, predicting stock prices using only stock price data is difficult because of the random nature of stock price data. This paper attempts to fuse data to solve the stock price prediction problem. The following data affecting the stock price are added to the proposed method as an additional modality: macroeconomic indicators and the months and day of the week. The multimodal early fusion method is used, which learns the intermodality correlation of features. The proposed model in this paper outperformed the comparison models and achieved statistically significant results. Specifically, 27 out of 50 stocks achieved higher classification accuracy than the comparative model. In addition, the in-depth analysis indicates that the early fusion strategy achieved better classification accuracy in 30 of 50 datasets than the late fusion strategy for stock price prediction.","2169-3536","","10.1109/ACCESS.2023.3240422","Institute of Information & communications Technology Planning & Evaluation (IITP); Korea government(MSIT) (2021-0-01341,Artificial Intelligence Graduate School Program(Chung-Ang University)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10029354","Stock price prediction;multimodal learning;information fusion;macroeconomic data;technical indicator","Hidden Markov models;Transformers;Predictive models;Macroeconomics;Correlation;Stock markets;Feature extraction","","4","","54","CCBY","30 Jan 2023","","","IEEE","IEEE Journals"
"Forecasting Bitcoin Prices Using Deep Learning for Consumer-Centric Industrial Applications","P. K. Roy; A. Kumar; A. Singh; A. K. Sangaiah","Department of Computer Science and Engineering, Indian Institute of Information Technology Surat, Surat, India; Department of Computer Science and Engineering, Motilal Nehru National Institute of Technology Allahabad, Prayagraj, India; School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar, India; International Graduate Institute of AI, National Yunlin University of Science and Technology, Douliou, Taiwan",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","1351","1358","As cryptocurrencies become more popular as investment vehicles, bitcoin draws interest from businesses, consumers, and computer scientists all across the world. Bitcoin is a computer file stored in digital wallet applications where each transaction is secured using strong cryptographic algorithms. It was challenging to forecast the future price of bitcoin due to its nonlinearity and extreme volatility. Several recent classic parametric models have been found with limited accuracy. To address the limitations and fill the existing research gaps, there is a need for a good prediction model which will provide the desired accuracy in the case of uncertainty and dynamism. This research suggested a deep learning-based framework for predicting and forecasting Bitcoin price. The research will be helpful for worldwide consumers and industries to take their decision on whether to invest or not. The research utilizes Yahoo! finance dataset for the period of 01-03-2016 to 26-02-2021 having 1828 samples. The experimental outcomes of the proposed Long Short-Term Memory (LSTM) model outperformed similar deep learning models by securing minimum loss and confirming that it can be used for future price prediction of the cryptocurrencies, which is helpful for the buyer to take their decision.","1558-4127","","10.1109/TCE.2023.3321653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10269098","Deep learning;cryptocurrency;bitcoin;GRU;LSTM;machine learning","Bitcoin;Predictive models;Hidden Markov models;Deep learning;Data models;Analytical models;Training","","1","","35","IEEE","2 Oct 2023","","","IEEE","IEEE Journals"
"Multivariate Financial Time-Series Prediction With Certified Robustness","H. Li; Y. Cui; S. Wang; J. Liu; J. Qin; Y. Yang","School of Labor Economics, Capital University of Economies and Business, Beijing, China; Key Laboratory of Agricultural Big Data, Ministry of Agriculture and Rural, Beijing, China; Faculty of Information Technology, Monash University, Melbourne, Australia; Key Laboratory of Agricultural Big Data, Ministry of Agriculture and Rural, Beijing, China; Faculty of Business and Economics, University of Melbourne, Melbourne, Australia; Faculty of Science, The University of British Columbia, Vancouver, Canada",IEEE Access,"18 Jun 2020","2020","8","","109133","109143","The futures market's forecasts are significant to investors and policymakers, where the application of deep learning approaches to finance has received a great deal of attention. In this study, we propose a multivariate financial time-series forecasting method. Our model addresses the long- and short-term features, multimodal and non-stationarity nature of multivariate time-series by incorporating the improved deep neural networks and certified noise injection. Specifically, multimodal variational autoencoder is used to extract deep high-level features of multivariate time-series, Long- and Short- Term recurrent neural network is applied for multivariate time-series forecasting, and certified noise injection mechanism, inspired by differential privacy, is proposed to improve the robustness and accuracy of prediction. Extensive empirical results on real-world agricultural commodity futures price time series and relevant external data demonstrate that our model achieves better performance over that of several state-of-the-art baseline methods.","2169-3536","","10.1109/ACCESS.2020.3001287","Innovation Program of Agricultural Information Institute, Chinese Academy of Agricultural Sciences(grant numbers:2020CX043); Fundamental Research Funds of Chinese Academy of Agricultural Sciences(grant numbers:Y2020PT14); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9113475","Futures prices;deep neural networks;prediction;multivariate;Gaussian noise","Time series analysis;Feature extraction;Differential privacy;Logic gates;Sensitivity;Robustness;Predictive models","","12","","37","CCBY","10 Jun 2020","","","IEEE","IEEE Journals"
"A Stochastic HMM-Based Forecasting Model for Fuzzy Time Series","S. -T. Li; Y. -C. Cheng","Department Industrial and Information Management, National Cheng Kung University, Tainan, Taiwan; Department of International Business Management, Tainan University of Technology, Yongkang, Taiwan","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","13 Sep 2010","2010","40","5","1255","1266","Recently, fuzzy time series have attracted more academic attention than traditional time series due to their capability of dealing with the uncertainty and vagueness inherent in the data collected. The formulation of fuzzy relations is one of the key issues affecting forecasting results. Most of the present works adopt IF-THEN rules for relationship representation, which leads to higher computational overhead and rule redundancy. Sullivan and Woodall proposed a Markov-based formulation and a forecasting model to reduce computational overhead; however, its applicability is limited to handling one-factor problems. In this paper, we propose a novel forecasting model based on the hidden Markov model by enhancing Sullivan and Woodall's work to allow handling of two-factor forecasting problems. Moreover, in order to make the nature of conjecture and randomness of forecasting more realistic, the Monte Carlo method is adopted to estimate the outcome. To test the effectiveness of the resulting stochastic model, we conduct two experiments and compare the results with those from other models. The first experiment consists of forecasting the daily average temperature and cloud density in Taipei, Taiwan, and the second experiment is based on the Taiwan Weighted Stock Index by forecasting the exchange rate of the New Taiwan dollar against the U.S. dollar. In addition to improving forecasting accuracy, the proposed model adheres to the central limit theorem, and thus, the result statistically approximates to the real mean of the target value being forecast.","1941-0492","","10.1109/TSMCB.2009.2036860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356151","Forecasting;fuzzy time series;hidden Markov model (HMM);Monte Carlo method","Stochastic processes;Hidden Markov models;Predictive models;Fuzzy sets;Fuzzy logic;Uncertainty;Atmospheric measurements;Pollution measurement;Time measurement;Information management","Algorithms;Artificial Intelligence;Computer Simulation;Decision Support Techniques;Forecasting;Fuzzy Logic;Markov Chains;Models, Statistical;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Stochastic Processes","34","","28","IEEE","18 Dec 2009","","","IEEE","IEEE Journals"
"Probabilistic Risk Assessment in Power Systems With High Wind Energy Penetration","M. Draz; F. Pagel; S. Albayrak","DAI-Labor, Technische Universität Berlin, Berlin, Germany; DAI-Labor, Technische Universität Berlin, Berlin, Germany; DAI-Labor, Technische Universität Berlin, Berlin, Germany",IEEE Access,"4 Oct 2024","2024","12","","140097","140111","Power systems are increasingly confronted with operational uncertainties. These stem from the integration of wind and solar energy sources with inherently stochastic generation behavior. The ensuing risks include power plant curtailments or grid imbalances. The deterministic approaches that currently underpin most planning have proven insufficient to manage these risks. This paper presents an alternative in the form of a data-driven probabilistic approach with direct relevance for transmission system operators. The models present a novel methodology that is independent of the common boundary conditions, e.g. case-specific models. First, we compare several data-driven algorithms and assign the forecasting task to the best-performing one. Second, the resulting forecast serves as an input for three optimal power flow (OPF) problems we tailor to the German power system. These problems minimize energy import volumes, energy import costs, and overall power losses. Third, based on the OPF results, we perform a risk assessment for operational instability, power loss, financial losses, and renewable energy waste. The results show that neural networks slightly outperform traditional machine learning algorithms in forecasting accuracy. However, linear-quadratic regulators remain attractive for their simplicity-performance ratio. Our probabilistic OPF approach can reduce power losses and identify frequency and line loading irregularities that deterministic methods do not. The data-driven approach we propose is superior to existing approaches in terms of its performance, usability, and applicability to complex power systems.","2169-3536","","10.1109/ACCESS.2024.3463882","Open Access Publication Fund of the Technische Universitat Berlin; DeRive project; German Federal Ministry for Economic Affairs and Climate Action (BMWK)(grant numbers:01MV22014F); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10684197","Machine learning;power systems reliability;power forecasting;uncertain optimization;risk assessment","Uncertainty;Probabilistic logic;Costs;Wind energy;Forecasting;Wind power generation;Power system stability;Machine learning;Power system reliability;Risk management","","","","41","CCBYNCND","19 Sep 2024","","","IEEE","IEEE Journals"
"When CVaR Meets With Bluetooth PAN: A Physical Distancing System for COVID-19 Proactive Safety","M. S. Munir; D. H. Kim; A. K. Bairagi; C. S. Hong","Department of Computer Science and Engineering, Kyung Hee University, Yongin, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, Republic of Korea",IEEE Sensors Journal,"14 Jun 2021","2021","21","12","13858","13869","In this work, we propose a risk-aware physical distancing system to assure a private safety distance from others for reducing the chance of being affected by the COVID-19 or such kind of pandemic. In particular, we have formulated a physical distancing problem by capturing Conditional Value-at-Risk (CVaR) of a Bluetooth-enabled personal area network (PAN). To solve the formulated risk-aware physical distancing problem, we propose two stages solution approach by imposing control flow, linear model, and curve-fitting schemes. Notably, in the first stage, we determine a PAN creator’s safe movement distance by proposing a probabilistic linear model. This scheme can effectively cope with a tail-risk from the probability distribution by satisfying the CVaR constraint for estimating safe movement distance. In the second stage, we design a Levenberg-Marquardt (LM)-based curve fitting algorithm upon the recommended safety distance and current distances between the PAN creator and others to find an optimal high-risk trajectory plan for the PAN creator. Finally, we have performed an extensive performance analysis using state-of-the-art Bluetooth data to establish the proposed risk-aware physical distancing system’s effectiveness. Our experimental results show that the proposed solution approach can effectively reduce the risk of recommending safety distance towards ensuring private safety. In particular, for a 95% CVaR confidence, we can successfully deal with 45.11% of the risk for measuring the PAN creator’s safe movement distance.","1558-1748","","10.1109/JSEN.2021.3068782","Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant by the Korean Government through MSIT (Evolvable deep learning model generation platform for edge computing)(grant numbers:2019-0-01287); MSIT Korea through the Grand Information Technology Research Center Support Program supervised by the Institute of Information and Communications Technology Planning and Evaluation (IITP)(grant numbers:IITP-2020-2015-0-00742); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9386066","Physical distancing;conditional value-at-risk (CVaR);personal area network (PAN);Bluetooth;COVID-19","COVID-19;Safety;Bluetooth;Sensors;Trajectory;Particle measurements;Atmospheric measurements","","10","","40","IEEE","24 Mar 2021","","","IEEE","IEEE Journals"
"An Adaptive SVR for High-Frequency Stock Price Forecasting","Y. Guo; S. Han; C. Shen; Y. Li; X. Yin; Y. Bai","School of Information Technology, Shandong Women’s University, Jinan, China; School of Computer Science, Shaanxi Normal University, Xi’an, China; School of Information Technology, Shandong Women’s University, Jinan, China; School of Information Technology, Shandong Women’s University, Jinan, China; School of Information Technology, Shandong Women’s University, Jinan, China; School of Engineering and Computer Science, California State University, Fullerton, CA, USA",IEEE Access,"16 Mar 2018","2018","6","","11397","11404","In order to mitigate investments, stock price forecasting has attracted more attention in recent years. Aiming at the discreteness, non-normality, high-noise in high-frequency data, a support vector machine regression (SVR) algorithm is introduced in this paper. However, the characteristics in different periods of the same stock, or the same periods of different stocks are significantly different. So, SVR with fixed parameters is difficult to satisfy with the constantly changing data flow. To tackle this problem, an adaptive SVR was proposed for stock data at three different time scales, including daily data, 30-min data, and 5-min data. Experiments show that the improved SVR with dynamic optimization of learning parameters by particle swarm optimization can get a better result than compared methods including SVR and back-propagation neural network.","2169-3536","","10.1109/ACCESS.2018.2806180","Shandong Provincial Department of Education Fund(grant numbers:J14LN54); Shandong Provincial Key Scientific Research Projects in 2014(grant numbers:86); Science and Technology Department of Shandong Province(grant numbers:2013YD01041); National Social Science Fund Project of China(grant numbers:17BGL058); Humanity and Social Science Research Foundation of Ministry of Education of China(grant numbers:15YJA790051); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8310891","Support vector machine;regression;particle swarm optimization;stock price forecasting;high-frequency data","Forecasting;Training;Particle swarm optimization;Hidden Markov models;Support vector machines;Optimization;Kernel","","70","","19","OAPA","9 Mar 2018","","","IEEE","IEEE Journals"
"Gaussian Process-Mixture Conditional Heteroscedasticity","E. A. Platanios; S. P. Chatzis","Department of Machine Learning, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Electrical Engineering, Computer Engineering, and Informatics, Cyprus University of Technology, Limassol, Cyprus",IEEE Transactions on Pattern Analysis and Machine Intelligence,"1 May 2014","2014","36","5","888","900","Generalized autoregressive conditional heteroscedasticity (GARCH) models have long been considered as one of the most successful families of approaches for volatility modeling in financial return series. In this paper, we propose an alternative approach based on methodologies widely used in the field of statistical machine learning. Specifically, we propose a novel nonparametric Bayesian mixture of Gaussian process regression models, each component of which models the noise variance process that contaminates the observed data as a separate latent Gaussian process driven by the observed data. This way, we essentially obtain a Gaussian process-mixture conditional heteroscedasticity (GPMCH) model for volatility modeling in financial return series. We impose a nonparametric prior with power-law nature over the distribution of the model mixture components, namely the Pitman-Yor process prior, to allow for better capturing modeled data distributions with heavy tails and skewness. Finally, we provide a copula-based approach for obtaining a predictive posterior for the covariances over the asset returns modeled by means of a postulated GPMCH model. We evaluate the efficacy of our approach in a number of benchmark scenarios, and compare its performance to state-of-the-art methodologies.","1939-3539","","10.1109/TPAMI.2013.183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6613486","Nonparametric statistics;Machine learning;Financial;Gaussian process;Pitman-Yor process;mixture model;conditional heteroscedasticity;copula;volatility modeling","Biological system modeling;Bayes methods;Predictive models;Gaussian processes;Computational modeling;Noise;Data models","","17","","51","IEEE","27 Sep 2013","","","IEEE","IEEE Journals"
"Learning Sentimental and Financial Signals With Normalizing Flows for Stock Movement Prediction","W. Tai; T. Zhong; Y. Mo; F. Zhou","University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China",IEEE Signal Processing Letters,"28 Jan 2022","2022","29","","414","418","Stockmovement prediction using Tweets (text) and historical price signals (time series) remains a challenging task due to the complex, noisy and dynamic nature of the stock market. The key to improve prediction performance is effectively capturing the complementarity between market sentiment signal from Tweets and time-series signal from the stock price. In this paper, we contribute a new solution StockNF by exploiting a deep generative model technique, Normalizing Flow (NF), to learn more flexible and expressive posterior distributions of latent variables of Tweets and price signals, which can largely ameliorate the bias inference problem in existing methods. We empirically evaluate the NF technique on a public stock movement prediction dataset and show that StockNF outperforms the state-of-the-art baselines.","1558-2361","","10.1109/LSP.2021.3135793","National Natural Science Foundation of China(grant numbers:62176043,62072077); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652123","Stock movement prediction;Fintech;normalizing flow;variational inference;generative models","Predictive models;Time series analysis;Stochastic processes;Data models;Noise measurement;Task analysis;Social networking (online)","","8","","39","IEEE","15 Dec 2021","","","IEEE","IEEE Journals"
"Machine Learning Algorithms for Forecasting and Categorizing Euro-to-Dollar Exchange Rates","M. El Mahjouby; M. Taj Bennani; M. Lamrini; B. Bossoufi; T. A. H. Alghamdi; M. El Far","Department of Computer Science, Laboratory (LPAIS), Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Department of Computer Science, Laboratory (LPAIS), Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Department of Computer Science, Laboratory (LPAIS), Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; LIMAS Laboratory, Faculty of Sciences Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Wolfson Centre for Magnetics, School of Engineering, Cardiff University, Cardiff, U.K.; Department of Computer Science, Laboratory (LPAIS), Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco",IEEE Access,"30 May 2024","2024","12","","74211","74217","Forecasting changes in foreign exchange rates is a well-explored and widely recognized area within finance. Numerous research endeavors have delved into the utilization of methods in machine learning to analyze and predict movements in the foreign exchange market. This work employed several machine-learning techniques such as Adaboost, logistic regression, gradient boosting, random forest classifier, bagging, Gaussian naïve Bayes, extreme gradient boosting classifier, decision tree classifier, and our approach (we have combined three models: logistic regression, random forest classifier, and Gaussian naive Bayes). Our objective is to predict the most advantageous times for purchasing and selling the euro about the dollar. We integrated a range of technical indicators into the training dataset to enhance the precision of our techniques and strategy. The outcomes of our experiment demonstrate that our approach outperforms alternative methods, achieving superior prediction performance. Our methodology yielded an accuracy of 0.948. This study will empower investors to make informed decisions about their future EUR/USD transactions, helping them identify the most advantageous times to buy and sell within the market.","2169-3536","","10.1109/ACCESS.2024.3404824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10538097","Foreign exchange;prediction;logistic regression;random forest;Naïve Bayes","Machine learning;Forecasting;Currencies;Classification algorithms;Training;Random forests;Machine learning algorithms;Finance;Logistic regression","","1","","32","CCBYNCND","23 May 2024","","","IEEE","IEEE Journals"
"Stochastic Optimization in a Cumulative Prospect Theory Framework","C. Jie; P. L.A.; M. Fu; S. Marcus; C. Szepesvári","Department of Mathematics, University of Maryland, College Park, MD, USA; University of Maryland at College Park, College Park, MD, US; School of Business and the Institute for Systems Research, University of Maryland, College Park, MD, USA; Department of Electrical and Computer Engineering and the Institute for Systems Research, University of Maryland, College Park, MD, USA; Department of Computing Science, University of Alberta Edmonton, AB, Canada",IEEE Transactions on Automatic Control,"28 Aug 2018","2018","63","9","2867","2882","Cumulative prospect theory (CPT) is a popular approach for modeling human preferences. It is based on probabilistic distortions and generalizes the expected utility theory. We bring the CPT to a stochastic optimization framework and propose algorithms for both estimation and optimization of CPT-value objectives. We propose an empirical distribution function-based scheme to estimate the CPT value, and then, use this scheme in the inner loop of a CPT-value optimization procedure. We propose both gradient based as well as gradient-free CPT-value optimization algorithms that are based on two well-known simulation optimization ideas: simultaneous perturbation stochastic approximation and model-based parameter search, respectively. We provide theoretical convergence guarantees for all the proposed algorithms and also illustrate the potential of CPT-based criteria in a traffic signal control application.","1558-2523","","10.1109/TAC.2018.2822658","NSF(grant numbers:Grant CMMI-1434419,Grant CNS-1446665,Grant CMMI-1362303); AFOSR(grant numbers:FA9550-15-10050); Alberta Innovates Technology Futures; Alberta Machine Intelligence Institute; NSERC; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8329994","Cumulative prospect theory (CPT);reinforcement learning;simultaneous perturbation stochastic approximation (SPSA);stochastic optimization","Optimization;Stochastic processes;Random variables;Approximation algorithms;Convergence;Complexity theory","","20","","37","IEEE","3 Apr 2018","","","IEEE","IEEE Journals"
"Forecast-Driven Stochastic Scheduling of a Virtual Power Plant in Energy and Reserve Markets","J. -F. Toubeau; T. -H. Nguyen; H. Khaloie; Y. Wang; F. Vallée","Universite de Mons, Mons, Belgium; Universite de Mons, Mons, Belgium; Universite de Mons, Mons, Belgium; The University of Hong Kong, Hong Kong Special Administrative Region of China; Universite de Mons, Mons, Belgium",IEEE Systems Journal,"9 Dec 2022","2022","16","4","5212","5223","Virtual power plants (VPPs) offer a cost-effective solution to incentivize coordination between different resources participating in joint energy and reserve markets. However, emerging technologies such as storage and demand response cannot deliver flexibility over long periods due to inherent energy limitations. In this article, we, therefore, inform the day-ahead scheduling of VPPs with forecast scenarios of the balancing stage, which are complemented with information on nonshiftable load, renewable generation, and electricity prices. These multivariate scenarios (incorporating both time and cross-variable dependencies) are obtained using a machine learning framework in which probabilistic forecasts are converted into time trajectories using a copula-based sampling. The model is enriched with a detailed representation of the intraday decision stage wherein all flexible resources are dynamically allocated over the daily horizon. To ensure the reliability of the solution, we take into full consideration the revenues and unit-specific costs related to the activation of reserves. Outcomes show that improving the representation of the intraday dispatch stage while relying on representative balancing uncertainties are two complementary components for increasing the quality of the VPP day-ahead strategy, which ultimately fosters its economic value.","1937-9234","","10.1109/JSYST.2021.3114445","FPS economy; S.M.E.s; Self-employed and Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580751","Bidirectional long short-term memory (BLSTM);machine learning;renewable generation;virtual power plant (VPP)","Uncertainty;Costs;Real-time systems;Probabilistic logic;Predictive models;Renewable energy sources;Trajectory;Power generation;Long short term memory","","6","","44","IEEE","19 Oct 2021","","","IEEE","IEEE Journals"
"Short-Term Stock Correlation Forecasting Based on CNN-BiLSTM Enhanced by Attention Mechanism","A. Luo; L. Zhong; J. Wang; Y. Wang; S. Li; W. Tai","School of Computer Science and Technology, Anhui University of Technology, Maanshan, China; Research Institute of Information Technology, Anhui University of Technology, Maanshan, China; Research Institute of Information Technology, Anhui University of Technology, Maanshan, China; School of Computer Science and Technology, Anhui University of Technology, Maanshan, China; School of Computer Science and Technology, Anhui University of Technology, Maanshan, China; School of Computer Science and Technology, Anhui University of Technology, Maanshan, China",IEEE Access,"29 Feb 2024","2024","12","","29617","29632","This study utilizes a new approach for short-term stock correlation forecasting using a combination of convolutional neural networks (CNN), bi-directional long and short-term memory (BiLSTM), and attention mechanisms to address the issue of information loss due to excessively long input time series data. The objective is to improve the accuracy of short-term equity correlation forecasts, which is essential for the efficient management of financial asset portfolios. The existing time series models usually only take into account the effect of stock historical data characteristics on stock correlation but ignore the fact that stock correlation is affected by multiple factors and undergoes an unknown unstable trend. More efficient methods or algorithms need to be devised to deal with financial data. This paper explores stock metrics and introduces a multi-factor model to quantify the factors affecting stock returns in order to calculate the correlation between stocks. Meanwhile, to cope with the problem of incomplete input data, this paper simultaneously incorporates stock return data that is directly related to the correlation data. In the CNN-BiLSTM-Attention (CLATT) model, the role of the CNN module is to obtain high-dimensional features from the input time series data, and the role of the BiLSTM module is to process the time series information to capture the time-series features in the stock return data and correlation data in the sample. In order to acquire the inherent correlation between the input stock return data and correlation data and to enhance the prediction accuracy of the model, the attention mechanism is finally implemented and used to optimize the weights of the BiLSTM output. In this paper, mean square error (MSE), root mean square error (RMSE), mean absolute error (MAE) metrics, mean absolute percentage of error (MAPE), and the coefficient of determination  $R^{2}$ , as well as four benchmark models, are used to evaluate the performance of the proposed model. The result shows that the CLATT model has 57.32% and 33% improvement in the correlation prediction accuracy of different stock portfolios compared to the single LSTM model, and the model prediction accuracy has been improved. Compared with the benchmark CNN-BiLSTM, it also has 56.06% and 28.87% improvement.","2169-3536","","10.1109/ACCESS.2024.3369419","Scientific Research Project of Higher Education Institutions in Anhui Province(grant numbers:2022AH040361); Collaborative Innovation Project of Anhui Universities(grant numbers:GXXT-2022-082); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10444524","Multiple factor;stock correlation prediction;time series prediction;attention mechanism;CNN;BiLSTM","Correlation;Data models;Predictive models;Time series analysis;Mathematical models;Deep learning;Forecasting;Convolutional neural networks;Stock markets;Financial industry;Time series analysis;Asset management;Financial services;Mean square error methods;Portfolios","","1","","39","CCBYNCND","23 Feb 2024","","","IEEE","IEEE Journals"
