"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Failure in Stock Price Prediction: A Comparison bettwen the Curve-Shape-Feature and Non-Curve-Shape-Feature Modes of Existing Machine Learning Algorithms","","Zhang, Ping; Jia-Yao, Yang; Zhu, Hao; Yue-Jie Hou; Liu, Yi; Chi-Chun, Zhou","International Journal of Computers, Communications and Control","Scholarly Journals","","16","6","2021-12-01","Dec 2021","","","","18419836","","","ENG","In the era of artificial intelligence, machine learning methods are successfully used in various fields. Machine learning has attracted extensive attention from investors in the financial market, especially in stock price prediction. However, one argument for the machine learning methods used in stock price prediction is that they are black-box models which are difficult to interpret. In this paper, we focus on the future stock price prediction with the historical stock price by machine learning and deep learning methods, such as support vector machine (SVM), random forest (RF), Bayesian classifier (BC), decision tree (DT), multilayer perceptron (MLP), convolutional neural network (CNN), bi-directional long-short term memory (BiLSTM), the embedded CNN, and the embedded BiLSTM. Firstly, we manually design several financial time series where the future price correlates with the historical stock prices in pre-designed modes, namely the curve-shape-feature (CSF) and the non-curve-shape-feature (NCSF) modes. In the CSF mode, the future prices can be extracted from the curve shapes of the historical stock prices. Conversely, in the NCSF mode, they can’t. Secondly, we apply various algorithms to those pre-designed and real financial time series. We find that the existing machine learning and deep learning algorithms fail in stock price prediction because in the real financial time series, less information of future prices is contained in the CSF mode, and perhaps more information is contained in the NCSF. Various machine learning and deep learning algorithms are good at handling the CSF in historical data, which are successfully applied in image recognition and natural language processing. However, they are inappropriate for stock price prediction on account of the NCSF. Therefore, accurate stock price prediction is the key to successful investment, and new machine learning algorithms handling the NCSF series are needed.","https://www.proquest.com/docview/2615132614?accountid=12870&bdid=83737&_bd=ODl%2FYM2GESB11Z0KaS8nmgBQrPk%3D","https://doi.org/10.15837/ijccc.2021.6.4549"
"Temporal mixture ensemble models for probabilistic forecasting of intraday cryptocurrency volume","","Antulov-Fantulin Nino; Guo, Tian; Lillo Fabrizio","Decisions in Economics and Finance","Scholarly Journals","","44","2","2021-01-01","2021","905","940","905-940","15938883","","","ENG","We study the problem of the intraday short-term volume forecasting in cryptocurrency multi-markets. The predictions are built by using transaction and order book data from different markets where the exchange takes place. Methodologically, we propose a temporal mixture ensemble, capable of adaptively exploiting, for the forecasting, different sources of data and providing a volume point estimate, as well as its uncertainty. We provide evidence of the clear outperformance of our model with respect to econometric models. Moreover our model performs slightly better than Gradient Boosting Machine while having a much clearer interpretability of the results. Finally, we show that the above results are robust also when restricting the prediction analysis to each volume quartile.","https://www.proquest.com/docview/2610094508?accountid=12870&bdid=83737&_bd=yYLKT8cvaEaw0wL4eod6TwShJDY%3D","https://doi.org/10.1007/s10203-021-00344-9"
"Enhancing profit from stock transactions using neural networks","","Ahana Roy Choudhury; Abrishami, Soheila; Turek, Michael; Kumar, Piyush","AI Communications","Scholarly Journals","","33","2","2020-01-01","2020","75","","75-92","0921-7126","","","ENG","Financial time-series forecasting, and profit maximization is a challenging task, which has attracted the interest of several researchers and is immensely important for investors. In this paper, we present a deep learning system, which uses a variety of data for a subset of the stocks on the NASDAQ exchange to forecast the stock price. Our framework allows the use of a variational autoencoder (VAE) to remove noise and time-series data engineering to extract higher-level features. A Stacked LSTM Autoencoder is used to perform multi-step-ahead prediction of the stock closing price. This prediction is used by two profit-maximization strategies that include greedy approach and short selling. Besides, we use reinforcement learning as a third profit-enhancement strategy and compare these three strategies to offline strategies that use the actual future prices. Results show that the proposed methods outperform the state-of-the-art time-series forecasting approaches in terms of predictive accuracy and profitability.","https://www.proquest.com/docview/2444669356?accountid=12870&bdid=83737&_bd=qmVbYNm6u%2BBTOFxQNLJN8FfhJlk%3D","https://doi.org/10.3233/AIC-200629"
"Foreign exchange market prediction with multiple classifiers","","Qian, Bo; Rasheed, Khaled","Journal of Forecasting","Scholarly Journals","","29","3","2010-04-01","Apr 2010","271","","","02776693","","","ENG","Foreign exchange market prediction is attractive and challenging. According to the efficient market and random walk hypotheses, market prices should follow a random walk pattern and thus should not be predictable with more than about 50% accuracy. In this article, we investigate the predictability of foreign exchange spot rates of the US dollar against the British pound to show that not all periods are equally random. We used the Hurst exponent to select a period with great predictability. Parameters for generating training patterns were determined heuristically by auto-mutual information and false nearest-neighbor methods. Some inductive machine-learning classifiers - artificial neural network, decision tree, k-nearest neighbor, and naive Bayesian classifier - were then trained with these generated patterns. Through appropriate collaboration of these models, we achieved a prediction accuracy of up to 67%. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/219135850?accountid=12870&bdid=83737&_bd=38zB0VRZZtZCLcDzWg5p%2FCWfmcw%3D",""
"DL-GuesS : Deep Learning and Sentiment Analysis-Based Cryptocurrency Price Prediction","","Parekh, Raj; Patel, Nisarg P; Thakkar, Nihar; Gupta, Rajesh; Tanwar, Sudeep; Sharma, Gulshan; Davidson, Innocent E; Sharma, Ravi","IEEE Access","Scholarly Journals","","10","","2022-01-01","2022","35398","","35398-35409","21693536","","","ENG","Cryptocurrencies are peer-to-peer-based transaction systems where the data exchanges are secured using the secure hash algorithm (SHA)-256 and message digest (MD)-5 algorithms. The prices of cryptocurrencies are highly volatile and follow stochastic moments and have reached their unpredictable limits. They are commonly used for investment and have become a substitute for other types of investment like metals, estates, and the stock market. Their importance in the market raises the strict requirement for a sturdy forecasting model. However, cryptocurrency price prediction is quite challenging due to its dependency on other cryptocurrencies. Many researchers have used machine learning and deep learning models, and other market sentiment-based models to predict the price of cryptocurrencies. As all the cryptocurrencies belong to a specific class, we can infer that the increase in the price of one cryptocurrency can lead to a price change for other cryptocurrencies. Researchers had also utilized the sentiments from tweets and other social media platforms to increase the performance of their proposed system. Motivated by these, in this paper, we propose a hybrid and robust framework, DL-Gues , for cryptocurrency price prediction, that considers its interdependency on other cryptocurrencies and also on market sentiments. We have considered price prediction of Dash carried out using price history and tweets of Dash , Litecoin , and Bitcoin for various loss functions for validation. Further, to check the usability of DL-GuesS on other cryptocurrencies, we have also inferred results for price prediction of Bitcoin-Cash with the price history and tweets of Bitcoin-Cash , Litecoin , and Bitcoin .","https://www.proquest.com/docview/2648289501?accountid=12870&bdid=83737&_bd=tI3dXIGoLnu6dmS4m4PyBoX2Ccs%3D","https://doi.org/10.1109/ACCESS.2022.3163305"
"A stacked generalization system for automated FOREX portfolio trading","","Petropoulos, Anastasios; Chatzis, Sotirios P; Siakoulis, Vasilis; Vlachogiannakis, Nikos","Expert Systems with Applications","Scholarly Journals","","90","","2017-12-30","Dec 30, 2017","290","","","0957-4174","","","ENG","Multiple FOREX time series forecasting is a hot research topic in the literature of portfolio trading. To this end, a large variety of machine learning algorithms have been examined. However, it is now widely understood that, in real-world trading settings, no single machine learning model can consistently outperform the alternatives. In this work, we examine the efficacy and the feasibility of developing a stacked generalization system, intelligently combining the predictions of diverse machine learning models. Our approach establishes a novel inferential framework that comprises the following levels of data processing: (i) We model the dependence patterns between major currency pairs via a diverse set of commonly used machine learning algorithms, namely support vector machines (SVMs), random forests (RFs), Bayesian autoregressive trees (BART), dense-layer neural networks (NNs), and naïve Bayes (NB) classifiers. (ii) We generate implied signals of exchange rate fluctuation, based on the output of these models, as well as appropriate side information obtained by analyzing the correlations across currency pairs in our training datasets. (iii) We finally combine these implied signals into an aggregate predictive waveform, by leveraging majority voting, genetic algorithm optimization, and regression weighting techniques. We thoroughly test our framework in real-world trading scenarios; we show that our system leads to significantly better trading performance than the considered benchmarks. Thus, it represents an attractive solution for financial firms and corporations that perform foreign exchange portfolio management and daily trading. Our system can be used as an integrated part in international commercial trade activities or in a quantitative investing framework for algorithmic trading and carry-trade speculation.","https://www.proquest.com/docview/1967822563?accountid=12870&bdid=83737&_bd=%2FhDhAHa2bZo5kNm1h6ntph%2B5qdk%3D",""
"Cloud based Financial Market Prediction through Genetic Algorithms: A Review","","Soni, Nitasha; Kumar, Tapas","International Journal of Computer Applications","Undefined","Foundation of Computer Science, 244 5th Avenue, # 1526, New York, NY 10001, USA India","123","8","2015-01-01","20150000","","","","","0975-8887","","ENG","This paper surveys recent literature in the area of stock market forecasting using advanced engineering based methods like Neural Network, fractal theory, Data Mining, Hidden Markov Model and Neuro-Fuzzy system. Neural Networks and Neuro-Fuzzy systems are emerging as an effective tool to be used in the forecasting of stock market especially in machine learning techniques. Due to chaotic behavior of the market, traditional techniques are insufficient to cover all the possible relation of the stock price fluctuations. Neural Network and Markov Model is being used exclusively in the forecasting of finance markets but in third world countries. In this paper, we will discuss the relevance of existing methods based on neural network and discussed gaps between these methods. We also propose a forecasting method to provide better an accuracy rather traditional method.","https://www.proquest.com/docview/1753536682?accountid=12870&bdid=83737&_bd=HKiUWeTmfulBaMBZk63AS%2BxqRVE%3D","https://doi.org/10.5120/ijca2015905413"
"Bayesian neural networks for stock price forecasting before and during COVID-19 pandemic","","Chandra, Rohitash; He, Yixuan","PLoS One","Scholarly Journals","","16","7","2021-07-01","Jul 2021","e0253217","","","19326203","","","ENG","Recently, there has been much attention in the use of machine learning methods, particularly deep learning for stock price prediction. A major limitation of conventional deep learning is uncertainty quantification in predictions which affect investor confidence. Bayesian neural networks feature Bayesian inference for providing inference (training) of model parameters that provides a rigorous methodology for uncertainty quantification in predictions. Markov Chain Monte Carlo (MCMC) sampling methods have been prominent in implementing inference of Bayesian neural networks; however certain limitations existed due to a large number of parameters and the need for better computational resources. Recently, there has been much progress in the area of Bayesian neural networks given the use of Langevin gradients with parallel tempering MCMC that can be implemented in a parallel computing environment. The COVID-19 pandemic had a drastic impact in the world economy and stock markets given different levels of lockdowns due to rise and fall of daily infections. It is important to investigate the performance of related forecasting models during the COVID-19 pandemic given the volatility in stock markets. In this paper, we use novel Bayesian neural networks for multi-step-ahead stock price forecasting before and during COVID-19. We also investigate if the pre-COVID-19 datasets are useful of modelling stock price forecasting during COVID-19. Our results indicate due to high volatility in the stock-price during COVID-19, it is more challenging to provide forecasting. However, we found that Bayesian neural networks could provide reasonable predictions with uncertainty quantification despite high market volatility during the first peak of the COVID-19 pandemic.","https://www.proquest.com/docview/2547537398?accountid=12870&bdid=83737&_bd=TmxwcSKiACLkjVvhuOC5N9f8QLo%3D","https://doi.org/10.1371/journal.pone.0253217"
"Predicting IoT Distributed Ledger Fraud Transactions With a Lightweight GAN Network","","Rawlins, Charles; Sarangapani, Jagannathan","IEEE Transactions on Mobile Computing","Scholarly Journals","","23","7","2024-01-01","2024","7818","","7818-7829","15361233","","","ENG","Decision-making and consensus in traditional blockchain protocols is formulated as a repeated Bernoulli trial that solves a computationally-intense lottery puzzle, called Proof-of-Work (PoW) in Bitcoin. This approach has shown robustness through practice, but does not scale with increasing network size and generation of new transactions. Resource constrained Internet of Things (IoT) networks are incompatible with full computation of schemes like Bitcoin's PoW. Our effort proposes a first step towards an alternative consensus using machine learning-based decision-making with prediction of fraud transactions to alleviate need for intense computation. To improve base approval probabilities for fraud detection in an ideal security setting, Vector GAN (VecGAN) is proposed to augment blockchain data in classifier training, which combines error-driven learning with Bayesian estimation to alleviate calculations. This two-step approach with augmentation and classification on new transactions is proposed as a novel approach to blockchain decision-making. Experimental prediction accuracy using VecGAN improved up to 3% on simplistic classifiers compared to other state-of-the-art augmentation techniques. Resource consumption in a realistic blockchain setting was reduced while improving block throughput by 50% compared to PoW. Future work will explore Sybil-spam defensive measures for realistic protocol implementation with this approach.","https://www.proquest.com/docview/3064715243?accountid=12870&bdid=83737&_bd=VGf3DW%2B3mSHN%2BZgPVhnADPGZSw8%3D","https://doi.org/10.1109/TMC.2023.3339384"
"Fuzzy Neural Systems for Stock Selection","","Wong, F S; Wang, P Z; Goh, T H; Quek, B K","Financial Analysts Journal","Scholarly Journals","","48","1","1992-01-01","Jan/Feb 1992","47","","47","0015198X","","","ENG","Artificial neural systems suffer from an inability to explain the steps by which they reach decisions and from an inability to incorporate rules into their structure.  Fuzzy neural systems (FNS) address some of the shortcomings of artificial intelligence tools.  An FNS uses a new concept called neural gates, which are similar to the processing elements of artificial neural systems but can handle a broader range of information.  Neural gates can be applied to forecasting stock market returns, assessing country risk, and rating stocks based on fuzzy rules and probabilistic and Boolean logic.  An intelligent stock selection (ISS) system incorporating neural gates is presented.  The ISS combines the various advantages of expert systems, artificial neural systems, and fuzzy reasoning.  A stock selection application is provided.","https://www.proquest.com/docview/219166244?accountid=12870&bdid=83737&_bd=M1dq4bdZyfDeAwGeVrw6X6kBbTM%3D",""
