"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Viet N.T.; Kravets A.","Viet, Nguyen Thanh (57219697357); Kravets, Alla (57200583694)","57219697357; 57200583694","A Novel Method for Predicting Technology Trends Based on Processing Multiple Data Sources","2023","Advances in Systems Science and Applications","23","1","","69","90","21","1","10.25728/assa.2023.23.01.1251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158848764&doi=10.25728%2fassa.2023.23.01.1251&partnerID=40&md5=4b815ffdf12a946f4c4c2f022eccf632","In order to gain competing capability in conditions of quickly scientific changes, it is crucial to track the evolution of existing technologies and to explore promising and emerging technologies. Moreover, numerous previous studies showed that sudden changes in R&D and patents are actually correlated with great variations in the market profit of firms. For this reason, if stock prices of an enterprise keep uptrend, then the technologies developed by considered one will be likely to become promising innovations in future. In this paper, we proposed a method to predict technology trends based on processing multiple data sources by mining Web news, forecasting stock price trends of high-tech companies, and patent clustering analysis. Different from other studies, our proposed method promotes an idea of predicting technology trends by forecasting stock price trend using univariate and multivariate data preparation approaches, with the utilization of Bayesian optimization for exploring best hyperparameters of machine/deep learning models, also a new method for patent analysis. Besides, a program system was created for analyzing word burst detection, predicting trend of stock prices, and analyzing patent applications. After collecting patents of Samsung Electronics Co Ltd, as a case study, clustering analysis is implemented on extracted noun phrases to explore technology trends developed by the company. These technology trends have recently been confirmed by domain experts in their corresponding published articles. The obtained forecast precision is about 93.8%, which proves that the proposed method gains positive reliability. © 2023 ASSA.","Bayesian optimization; clustering analysis; deep learning; extraction; machine learning; patent analysis; Samsung; stock price; technology forecast; Web news","","Article","Final","","Scopus","2-s2.0-85158848764"
"Rahmani E.; Khatami M.; Stephens E.","Rahmani, Elham (56638193700); Khatami, Mohammad (57023519900); Stephens, Emma (36835728800)","56638193700; 57023519900; 36835728800","Using Probabilistic Machine Learning Methods to Improve Beef Cattle Price Modeling and Promote Beef Production Efficiency and Sustainability in Canada","2024","Sustainability (Switzerland) ","16","5","1789","","","","2","10.3390/su16051789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187880680&doi=10.3390%2fsu16051789&partnerID=40&md5=90451b9bb3e7c8c4f7d7d5f4e9172ada","Accurate agricultural commodity price models enable efficient allocation of limited natural resources, leading to improved sustainability in agriculture. Because of climate change, price volatility and uncertainty in the sector are expected to increase in the future, increasing the need for improved price modeling. With the emergence of machine learning (ML) algorithms, novel tools are now available to enhance the modeling of agricultural commodity prices. This research explores both univariate and multivariate ML techniques to perform probabilistic price prediction modeling for the Canadian beef industry, taking into account beef production, commodity markets, and international trade features to enhance accuracy. We model Alberta fed steer prices using three multivariate ML algorithms (support vector regression (SVR), random forest (RF), and Adaboost (AB)) and three univariate ML algorithms (autoregressive integrated moving average (ARIMA), seasonal ARIMA (SARIMA), and the seasonal autoregressive integrated moving average with exogenous factors (SARIMAX)). We apply these models to monthly fed steer price data between January 2005 and September 2023 and compare predicted prices with observed prices using several validation metrics. The outcomes indicate that both random forest (RF) and Adaboost (AB) show superior overall performance in accurately predicting Alberta fed steer prices in comparison to other algorithms. To better account for the variance of the best model performance, we subsequently adopted a probabilistic approach by considering uncertainty in our best-selected ML model. The beef industry can use these improved price models to minimize resource waste and inefficiency in the sector and improve the long-term sustainability prospects for beef producers in Canada. © 2024.","Adaboost; ARIMA; Canadian Cattle Price Modeling; machine learning; multivariate and univariate modeling; probabilistic modeling; random forest; SARIMA; SARIMAX; support vector regression","Alberta; Canada; cattle; commodity price; international trade; machine learning; multivariate analysis; prediction; price dynamics; probability; regression analysis; support vector machine; sustainability","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187880680"
"Mussoi Almeida L.; Müller F.M.; Perlin M.S.","Mussoi Almeida, Lucas (58964981200); Müller, Fernanda Maria (57218322292); Perlin, Marcelo Scherer (31767585500)","58964981200; 57218322292; 31767585500","Risk Forecasting Comparisons in Decentralized Finance: An Approach in Constant Product Market Makers","2024","Computational Economics","","","","","","","0","10.1007/s10614-024-10585-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189147277&doi=10.1007%2fs10614-024-10585-6&partnerID=40&md5=56bbd12a323ce58ba563afc99221070c","This study leverages decentralized liquidity pool data sourced from UNISWAP-V2 to forecast Value-at-Risk (VaR) and Expected Shortfall (ES) employing the Generalized Autoregressive Conditional Heteroskedasticity (GARCH) model with varied error distributions and the deep learning probabilistic forecasting algorithm known as DeepAR. Performance evaluations of these distinct forecasting methodologies are conducted using an appropriate loss function. Results indicate that the GARCH model with a normal distribution consistently outperforms other models, particularly when forecasting VaR. Conversely, the DeepAR model exhibits limited effectiveness in VaR forecasting across all scenarios, except for liquidity pools involving at least one stablecoin. However, it demonstrates greater reliability in predicting most ES risk measures and associated data. Our findings underscore that in a subset of the data, providing liquidity to pairs involving at least one stablecoin entails statistically significant lower risk compared to holding an equivalent amount of crypto assets. Furthermore, this research contributes to the advancement of novel risk management tools and strategies tailored for liquidity providers. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Cryptocurrency; DeFi; Liquidity pool; Risk forecasting","","Article","Article in press","","Scopus","2-s2.0-85189147277"
"Shi S.; Yu J.; Zhang C.","Shi, Shuping (54909151400); Yu, Jun (7405530121); Zhang, Chen (58870463700)","54909151400; 7405530121; 58870463700","Fractional gaussian noise: Spectral density and estimation methods","2024","Journal of Time Series Analysis","","","","","","","0","10.1111/jtsa.12750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193700844&doi=10.1111%2fjtsa.12750&partnerID=40&md5=9b3019983e0a04fef2d5be8693350e2c","The fractional Brownian motion (fBm) process, governed by a fractional parameter (Formula presented.), is a continuous-time Gaussian process with its increment being the fractional Gaussian noise (fGn). This article first provides a computationally feasible expression for the spectral density of fGn. This expression enables us to assess the accuracy of a range of approximation methods, including the truncation method, Paxson's approximation, and the Taylor series expansion at the near-zero frequency. Next, we conduct an extensive Monte Carlo study comparing the finite sample performance and computational cost of alternative estimation methods for (Formula presented.) under the fGn specification. These methods include two semi-parametric methods (based on the Taylor series expansion), two versions of the Whittle method (utilising either the computationally feasible expression or Paxson's approximation of the spectral density), a time-domain maximum likelihood (ML) method (employing a recursive approach for its likelihood calculation), and a change-of-frequency method. Special attention is paid to highly anti-persistent processes with (Formula presented.) close to zero, which are of empirical relevance to financial volatility modelling. Considering the trade-off between statistical and computational efficiency, we recommend using either the Whittle ML method based on Paxson's approximation or the time-domain ML method. We model the log realized volatility dynamics of 40 financial assets in the US market from 2012 to 2019 with fBm. Although all estimation methods suggest rough volatility, the implied degree of roughness varies substantially with the estimation methods, highlighting the importance of understanding the finite sample performance of various estimation methods. © 2024 The Authors. Journal of Time Series Analysis published by John Wiley & Sons Ltd.","change-of-frequency; Fractional Brownian motion; fractional Gaussian noise; maximum likelihood; realised volatility; semi-parametric method; Whittle likelihood","","Article","Article in press","","Scopus","2-s2.0-85193700844"
"Li Y.; Chen L.; Sun C.; Liu G.; Chen C.; Zhang Y.","Li, Yi (58447921000); Chen, Lei (58973619800); Sun, Cuiping (57808388600); Liu, Guoxu (57208738932); Chen, Chunlei (55203918700); Zhang, Yonghui (57193323816)","58447921000; 58973619800; 57808388600; 57208738932; 55203918700; 57193323816","Accurate Stock Price Forecasting Based on Deep Learning and Hierarchical Frequency Decomposition","2024","IEEE Access","12","","","49878","49894","16","1","10.1109/ACCESS.2024.3384430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189618755&doi=10.1109%2fACCESS.2024.3384430&partnerID=40&md5=6cdb3660f9272bd59e7d0fb4e03d5896","The stock market is playing an increasingly important role in the global economy. Accurate stock price forecasting not only aids the government in predicting economic trends but also helps investors anticipate higher expected returns. Nevertheless, hurdles such as nonlinearity, complexity and high volatility make it a daunting task to predict stock prices. To address this issue, this study proposes a new hybrid model, termed Hierarchical Decomposition-based Forecasting Model (HDFM), to decompose and forecast stock prices in a hierarchical fashion. The model utilizes complete ensemble empirical mode decomposition with adaptive noise (CEEMDAN) for the initial decomposition of stock price time series. To enhance the predictive efficiency, sub-series with similar sample entropy from the decomposition were combined using the K-means clustering method. Through a thorough analysis, it was found that the first combined sub-series contained more high-frequency signals. Therefore, the first combined sub-series is subjected to a second decomposition with variational mode decomposition (VMD). Subsequently, the gated recurrent unit (GRU) model was used to individually predict each sub-series. The final results were obtained by merging the prediction outcomes. The proposed model was evaluated on three different stock markets. The experimental results show that the proposed model outperforms other forecasting methods across all stock indices. Moreover, ablation studies demonstrated the effectiveness of each component within the proposed model.  © 2013 IEEE.","clustering; deep learning; hierarchical decomposition; Stock price prediction","Cluster analysis; Clustering algorithms; Commerce; Costs; Deep learning; Electronic trading; Financial markets; Forecasting; Hidden Markov models; Investments; Time series analysis; Adaptation models; Auto regressive process; Clusterings; Deep learning; Hidden-Markov models; Hierarchical decompositions; Predictive models; Stock price prediction; Time-series analysis; Empirical mode decomposition","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189618755"
"Lahmiri S.","Lahmiri, Salim (39061577500)","39061577500","Fossil energy market price prediction by using machine learning with optimal hyper-parameters: A comparative study","2024","Resources Policy","92","","105008","","","","1","10.1016/j.resourpol.2024.105008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190730143&doi=10.1016%2fj.resourpol.2024.105008&partnerID=40&md5=d697ff29aef2801c3fd89506a2c5b584","Fossil energy markets are important commodities, and their price fluctuations impact worldwide economy and financial markets. Hence, it is essential to forecast the prices of fossil energy commodities. In this study, various machine learning systems are optimized by using Bayesian optimization method and implemented to forecast prices in 12 different fossil energy markets including crude oil, natural gas, propane, kerosene, gasoline, heating oil, and coal based on price information from all fossil energy markets. The optimized machine learning systems considered in modeling and simulations are Gaussian regression process, support vector regression, regression trees, k-nearest neighbor algorithm, and deep feedforward neural networks. The simulation results show that Gaussian regression process is the best system to forecast fossil energy markets. In addition, the deep learning feedforward neural networks system yields to stable forecasts. Furthermore, the prediction of the prices in natural gas, coal, and propane markets is a difficult task compared to the prediction of the prices in crude oil markets. The understanding of the effectiveness of machine learning systems in pricing different fossil energy markets can help international economic agents establish appropriate investment strategies. © 2024 Elsevier Ltd","Bayesian optimization; Deep feedforward neural networks; Fossil energy market price; Gaussian regression process; K-nearest neighbors; Machine learning; Regression trees; Support vector regression","Bayesian networks; Costs; Feedforward neural networks; Financial markets; Forecasting; Gaussian distribution; Investments; Learning algorithms; Learning systems; Long short-term memory; Natural gas; Regression analysis; Trees (mathematics); Bayesian optimization; Deep feedforward neural network; Energy markets; Fossil energy; Fossil energy market price; Gaussian regression; Gaussian regression process; K-near neighbor; Machine-learning; Market price; Nearest-neighbour; Regression trees; Support vector regressions; Bayesian analysis; comparative study; energy market; fossil fuel; Gaussian method; machine learning; numerical model; parameter estimation; price determination; price dynamics; Nearest neighbor search","Article","Final","","Scopus","2-s2.0-85190730143"
"Grudniewicz J.; Ślepaczuk R.","Grudniewicz, Jan (58528791700); Ślepaczuk, Robert (57188547619)","58528791700; 57188547619","Application of machine learning in algorithmic investment strategies on global stock markets","2023","Research in International Business and Finance","66","","102052","","","","4","10.1016/j.ribaf.2023.102052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167407541&doi=10.1016%2fj.ribaf.2023.102052&partnerID=40&md5=8d5dfdd070331bdc2bb2e8782aae75b0","The research undertakes the subject of machine learning based algorithmic investment strategies. Several technical analysis indicators were employed as inputs to machine learning models such as Neural Networks, K Nearest Neighbor, Regression Trees, Random Forests, Naïve Bayes classifiers, Bayesian Generalized Linear Models, and Support Vector Machines. Models were used to generate trading signals on WIG20, DAX, S&P500, and selected CEE indices in the period between 2002-01–01 and 2023–03–31. Strategies were compared with each other and with the benchmark buy-and-hold strategy in terms of achieved levels of risk and return. Sensitivity analysis was used to assess the quality of the estimation on independent subsets. The findings of the study showed that algorithmic strategies outperformed passive strategies in terms of risk-adjusted returns and that for the analyzed indices, Linear Support Vector Machine and Bayesian Generalized Linear Model were the best-performing models. The Linear Support Vector Machine was chosen as the model that, on average, produced the best results using a more thorough rank approach based on the outcomes for all examined models and indices. © 2023","Algorithmic investment strategies; Developed and emerging markets; Equity stock indices; Information ratio; Machine learning; Neural networks; Random forests; Regression trees; Support vector machine; Technical analysis","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85167407541"
"Sher T.; Rehman A.; Kim D.; Ihsan I.","Sher, Tahir (57926504600); Rehman, Abdul (57200894071); Kim, Dongsun (55742964600); Ihsan, Imran (58648779800)","57926504600; 57200894071; 55742964600; 58648779800","Exploiting Data Science for Measuring the Performance of Technology Stocks","2023","Computers, Materials and Continua","76","3","","2979","2995","16","0","10.32604/cmc.2023.036553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174419934&doi=10.32604%2fcmc.2023.036553&partnerID=40&md5=faa701f6c815fdda4ffdc6f2fb393601","The rise or fall of the stock markets directly affects investors’ interest and loyalty. Therefore, it is necessary to measure the performance of stocks in the market in advance to prevent our assets from suffering significant losses. In our proposed study, six supervised machine learning (ML) strategies and deep learning (DL) models with long short-term memory (LSTM) of data science was deployed for thorough analysis and measurement of the performance of the technology stocks. Under discussion are Apple Inc. (AAPL), Microsoft Corporation (MSFT), Broadcom Inc., Taiwan Semiconductor Manufacturing Company Limited (TSM), NVIDIA Corporation (NVDA), and Avigilon Corporation (AVGO). The datasets were taken from the Yahoo Finance API from 06-05-2005 to 06-05-2022 (seventeen years) with 4280 samples. As already noted, multiple studies have been performed to resolve this problem using linear regression, support vector machines, deep long short-term memory (LSTM), and many other models. In this research, the Hidden Markov Model (HMM) outperformed other employed machine learning ensembles, tree-based models, the ARIMA (Auto Regressive Integrated Moving Average) model, and long short-term memory with a robust mean accuracy score of 99.98. Other statistical analyses and measurements for machine learning ensemble algorithms, the Long Short-Term Model, and ARIMA were also carried out for further investigation of the performance of advanced models for forecasting time series data. Thus, the proposed research found the best model to be HMM, and LSTM was the second-best model that performed well in all aspects. A developed model will be highly recommended and helpful for early measurement of technology stock performance for investment or withdrawal based on the future stock rise or fall for creating smart environments. © 2023 Tech Science Press. All rights reserved.","data science; deep learning; Machine learning; smart environments; stock marketing; stocks movement","Brain; Commerce; Financial markets; Hidden Markov models; Investments; Learning systems; Semiconductor device manufacture; Support vector machines; Time series analysis; Best model; Deep learning; Hidden-Markov models; Machine-learning; Measurements of; Performance; Smart environment; Stock marketing; Stock movement; Supervised machine learning; Long short-term memory","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174419934"
"Vuletić M.; Prenzel F.; Cucuringu M.","Vuletić, Milena (57473083100); Prenzel, Felix (57980467000); Cucuringu, Mihai (16644545900)","57473083100; 57980467000; 16644545900","Fin-GAN: forecasting and classifying financial time series via generative adversarial networks","2024","Quantitative Finance","24","2","","175","199","24","4","10.1080/14697688.2023.2299466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184220335&doi=10.1080%2f14697688.2023.2299466&partnerID=40&md5=92ce2360c48ef639eba15e342305951e","We investigate the use of Generative Adversarial Networks (GANs) for probabilistic forecasting of financial time series. To this end, we introduce a novel economics-driven loss function for the generator. This newly designed loss function renders GANs more suitable for a classification task, and places them into a supervised learning setting, whilst producing full conditional probability distributions of price returns given previous historical values. Our approach moves beyond the point estimates traditionally employed in the forecasting literature, and allows for uncertainty estimates. Numerical experiments on equity data showcase the effectiveness of our proposed methodology, which achieves higher Sharpe Ratios compared to classical supervised learning models, such as LSTMs and ARIMA. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Classification; Financial returns; GANs; Time series forecasting","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184220335"
"Ting L.; Abd El-Raouf M.M.; Bakr M.E.; Alsahangiti A.M.","Ting, Lai (58569948100); Abd El-Raouf, M.M. (57211605899); Bakr, M.E. (57206727602); Alsahangiti, Arwa M. (58132196800)","58569948100; 57211605899; 57206727602; 58132196800","Analysis of bitcoin prices using a heavy-tailed version of Dagum distribution and machine learning methods","2023","Alexandria Engineering Journal","80","","","572","583","11","2","10.1016/j.aej.2023.08.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170421403&doi=10.1016%2fj.aej.2023.08.025&partnerID=40&md5=b2c70b742a372f1005e118c45035f647","Statistical modeling and forecasting are very important for decision-making in any field of life. This paper has two major objectives, namely, statistical modeling and forecasting of real phenomena. For covering the first aim (i.e., statistical modeling), we introduce a new probabilistic model. The new model is introduced by mixing the Dagum distribution with the weighted TX family approach. The proposed model is called the weighted TX Dagum distribution and possesses heavy-tailed characteristics. The new model is illustrated by analyzing real-life data related to Bitcoin prices. To cover the second aim (i.e., forecasting), we take into account six macroeconomic and financial indicators to investigate their impact on Bitcoin prices such as the Adaptive least absolute shrinkage and selection operator (Alasso), elastic net, and minimax concave penalty. After analyzing the data, it is found that Alasso and MCP have retained all the included predictors, except import, while Enet holds all the predictors. The root means square error and mean absolute error associated with MCP are lower than Alasso and Enet, which reveals that MCP fits the data very well as compared to rival methods. © 2023 The Author(s)","Bitcoin prices; Dagum distribution; Heavy-tailed characteristics; Machine learning and robust regression methods; Macroeconomic variables","Bitcoin; Costs; Decision making; Forecasting; Regression analysis; Bitcoin price; Dagum distribution; Heavy-tailed characteristics; Least absolute shrinkage and selection operators; Machine learning and robust regression method; Machine-learning; Macroeconomic variables; Regression method; Robust regressions; Statistic modeling; Machine learning","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170421403"
"Akram T.; Ramakrishnan S.A.I.; Naveed M.","Akram, Tooba (57217619731); Ramakrishnan, Suresh A/I (56566080100); Naveed, Muhammad (55567966400)","57217619731; 56566080100; 55567966400","Prevalence of money laundering and terrorism financing through stock market: a comprehensive conceptual review paper","2023","Journal of Money Laundering Control","26","5","","1027","1044","17","3","10.1108/JMLC-06-2022-0094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138205931&doi=10.1108%2fJMLC-06-2022-0094&partnerID=40&md5=91e903100c903d166b34690da6b9f8c2","Purpose: This paper aims to provide a comprehensive conceptual framework and strong arguments with an intent to examine the stock market variables (predictors) indicating the money laundering (ML) and terrorism financing (FT) proceeds. Design/methodology/approach: This paper provides a comprehensive review of ML/FT through the stock market across developed, developing and emerging jurisdictions, sheds light on the existing literature and critically evaluates the gap in the relevant studies. Moving forward, this paper develops the conceptual framework and formulates hypotheses to explore the empirical relationship. Findings: This paper advocates and finds a basis to carry out much-needed empirical research between the ML/FT and stock market keeping in view the growing criminal cases in the developing countries. This paper suggests mining proxies from the publically available stock market data and the results of existing seminal research as variables of the study. These data and results carry information about the ML determinants. After developing hypothetical research providing concepts, this paper also finds that using a suitable methodology, preferable Bayesian logistic and linear regression models, it is possible to find the typologies and factors that can indicate and endorse the use of the stock market for ML/FT. Broadly, it is found that the significance of this study will be two-pronged: empirical development and policy implications. Research limitations/implications: This paper mainly focuses on the developing region, a newly emerging market and, peculiarly, a grey-listed region by the Financial Action Task Force (FATF). Practical implications: In light of the existing literature and to the best of the researchers’ knowledge, this study will bring into focus the new age of the action research on the ML regime in the securities markets of the developing countries, hence, the emerging markets. Moreover, this research shall have a sheer significance for the policy measures on FATF recommendations on ML and FT, especially for the countries listed as “grey”. Social implications: The research based on comprehensive review will help in controlling the social behaviours aiding the proceeds of ML. Originality/value: This research is extremely novel to the best of the researcher's knowledge. © 2022, Emerald Publishing Limited.","Due diligence; FATF; Insider trading; Money laundering; Stock market; Terrorism financing","","Article","Final","","Scopus","2-s2.0-85138205931"
"Fereydooni A.; Mahootchi M.","Fereydooni, Ali (58107239800); Mahootchi, Masoud (21743241800)","58107239800; 21743241800","An algorithmic trading system based on a stacked generalization model and hidden Markov model in the foreign exchange market","2023","Global Finance Journal","56","","100825","","","","5","10.1016/j.gfj.2023.100825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151690140&doi=10.1016%2fj.gfj.2023.100825&partnerID=40&md5=a26893f86a8040fa89357b24daf14e2f","The Forex market has been one of the most attractive markets to researchers, funds, and traders. Literature shows that a single model algorithm usually cannot perform satisfactorily on the foreign exchange (Forex) time series because of the market's complexity. This study develops an algorithm based on two stacked generalization models consisting of four machine-learning models. First, the optimal lags of features are found using the Fisher discriminant ratio and partial autocorrelation function. Second, one stacked model fits the bullish trends, and the other holds the bearish trends resulting from a hidden Markov model. We reinforce the predictive signals of these models by extracting relationships between currency pairs with correlation and mutual information. Lastly, the proposed algorithm constructs a portfolio based on the strength of signals dependent on correlation and mutual information. As a result, this paper compares the performance of the proposed approach with different states of the model and several established benchmarks regarding return and risk metrics. The outcomes show that the proposed model's added features—such as time series clustering, considering a range of inputs, and internal relationships among different assets—can increase its performance in the Forex market. © 2023 Elsevier Inc.","Foreign exchange market; Hidden Markov model; Stacked generalization model; Time series clustering; Time series forecasting","","Article","Final","","Scopus","2-s2.0-85151690140"
"Tian R.; Lu M.; Wang H.; Wang B.; Tang Q.","Tian, Ran (56119550700); Lu, Meng (58774819500); Wang, Haopeng (58295231900); Wang, Bo (58994708800); Tang, Qingxia (58774819600)","56119550700; 58774819500; 58295231900; 58994708800; 58774819600","IACPPO: A deep reinforcement learning-based model for warehouse inventory replenishment","2024","Computers and Industrial Engineering","187","","109829","","","","3","10.1016/j.cie.2023.109829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180364902&doi=10.1016%2fj.cie.2023.109829&partnerID=40&md5=7514bc06e89ffb3d8e9bcdebd8586438","Inventory cost is a significant factor in Supply Chain Management (SCM), and an effective replenishment strategy can reduce warehouse operation costs. However, traditional replenishment strategies often struggle to meet the complex and ever-changing demands of real-world warehouse scenarios. Moreover, the spatiotemporal heterogeneity of commodity demand and inventory cost poses significant challenges to time series prediction models, as individual training strategies for different commodities significantly increase modeling and time costs. To address these issues, we propose a replenishment model called IACPPO, which incorporates the Advantage Actor-Critic (A2C) algorithm with the Proximal Policy Optimization (PPO) algorithm. Firstly, we introduce gated recurrent unit (GRU) and Attention Mechanisms into the Actor-Critic network to analyze data state spaces for probabilistic modeling and extracting valid information from environmental state sequences by memory reasoning and focusing on critical state sequences; additionally, we fuse the A2C algorithm with the PPO algorithm to train the whole network simultaneously to obtain the replenishment strategy. Finally, experimental results on two different real-world inventory datasets show that using the IACPPO model has achieved the best cost control strategies in most experimental validations of replenishment strategies. © 2023 Elsevier Ltd","Inventory cost management; Markov decision process; Replenishment strategy; Supply chain","Costs; Critical current density (superconductivity); Deep learning; Inventory control; Markov processes; Reinforcement learning; Supply chain management; Actor critic; Cost management; Inventory cost management; Inventory costs; Markov Decision Processes; Optimization algorithms; Policy optimization; Real-world; Replenishment strategies; State sequences; Warehouses","Article","Final","","Scopus","2-s2.0-85180364902"
"Jin B.; Xu X.","Jin, Bingzi (58914834300); Xu, Xiaojie (57192066072)","58914834300; 57192066072","Machine learning price index forecasts of flat steel products","2024","Mineral Economics","","","","","","","2","10.1007/s13563-024-00457-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199381469&doi=10.1007%2fs13563-024-00457-8&partnerID=40&md5=76bb9b2fc00fbc470cbb0875ec6f8936","Investors and authorities have always placed a high emphasis on commodity price forecasting. In this study, the issue of daily price index forecasting for flat steel products on the Chinese market between June 15, 2011, and April 15, 2021 is examined. There hasn’t been enough focus in the literature on anticipating this important commodity price indicator. Cross-validation and Bayesian optimizations are used to train our models, and Gaussian process regressions are used to support our conclusions. With an out-of-sample relative root mean square error of 0.1293%, the created models correctly forecasted the price indices between April 26, 2019, and April 15, 2021. The developed models may be used for policy research and decision-making by investors and policymakers. When creating similar commodity price indices with reference data on the price trends predicted by the models, the forecasting findings may prove helpful. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.","Bayesian optimization; Cross validation; Flat steel product; Gaussian process regression; Price prediction","","Article","Article in press","","Scopus","2-s2.0-85199381469"
"Yang G.-H.; Ma S.-Q.; Bian X.-D.; Li J.-C.","Yang, Guo-Hui (57194237912); Ma, Si-Qi (58559476300); Bian, Xiao-Dong (58559514400); Li, Jiang-Cheng (25921575100)","57194237912; 58559476300; 58559514400; 25921575100","The roles of liquidity and delay in financial markets based on an optimal forecasting model","2023","PLoS ONE","18","9 September","e0290869","","","","0","10.1371/journal.pone.0290869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169527039&doi=10.1371%2fjournal.pone.0290869&partnerID=40&md5=f7c69fed32fc2a29e7b5302f630c1fa2","We investigate the roles of liquidity and delay in financial markets through our proposed optimal forecasting model. The efficiency and liquidity of the financial market are examined using stochastic models that incorporate information delay. Based on machine learning, we estimate the in-sample and out-of-sample forecasting price performances of the six proposed methods using the likelihood function and Bayesian methods, and the out-of-sample prediction performance is compared with the benchmark model ARIMA-GARCH. We discover that the forecasting price performance of the proposed simplified delay stochastic model is superior to that of the benchmark methods by the test methods of a variety of loss function, superior predictive ability test (SPA), Akaike information criterion (AIC), and Bayesian information criterion (BIC). Using data from the Chinese stock market, the best forecasting model assesses the efficiency and liquidity of the financial market while accounting for information delay and trade probability. The rise in trade probability and delay time affects the stability of the return distribution and raises the risk, according to stochastic simulation. The empirical findings show that empirical and best forecasting approaches are compatible, that company size and liquidity (delay time) have an inverse relationship, and that delay time and liquidity have a nonlinear relationship. The most efficient have optimal liquidity. Copyright: © 2023 Yang et al.","","Aptitude Tests; Asian People; Bayes Theorem; Benchmarking; Humans; Likelihood Functions; Article; bootstrapping; data base; finance; forecasting; human; liquidity; mathematical parameters; prediction; predictive model; price; probability; simulation; stochastic model; stock market; trade (economics); aptitude test; Asian; Bayes theorem; benchmarking; statistical model","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85169527039"
"Leng J.; Liu W.; Guo Q.","Leng, Jielin (57983268100); Liu, Wei (58360609100); Guo, Qiang (56435022400)","57983268100; 58360609100; 56435022400","Stock movement prediction model based on gated orthogonal recurrent units","2022","Intelligent Systems with Applications","16","","200156","","","","4","10.1016/j.iswa.2022.200156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142670868&doi=10.1016%2fj.iswa.2022.200156&partnerID=40&md5=0f9d8b24c04ec239d9a34f2fbdac3594","Stock movement prediction has received growing interest in the deep learning community. However, the generalization ability of some existing prediction models is weak due to the highly stochastic property of stock market, and some models suffer from the problem of gradient explosion or gradient vanishing in the training process. To solve the above issues, in this paper, we propose a novel stock movement prediction model based on gated orthogonal recurrent units (GORU) and variational auto-encoder (VAE). Specifically, GORU encodes the text information, and then VAE infers and decodes the market information formed by concatenating encoded text information with normalized historical price information. Meanwhile, orthogonality introduced by GORU can alleviate the problem of gradient explosion or gradient vanishing and enhance the generalization ability of the model. We evaluate the relative contributions of text information and historical prices with respect to prediction accuracy by the results of an ablation study. The experimental results on publicly available datasets show that the proposed model is better than several state-of-the-art models, which indicates that the GORU and VAE can effectively improve the model's generalization ability and accuracy for predicting stock trends. © 2022 The Author(s)","Deep neural network; Gated orthogonal recurrent unit; Stock movement prediction; Text information encoding; Variational inference","Commerce; Encoding (symbols); Forecasting; Motion estimation; Network coding; Recurrent neural networks; Stochastic models; Stochastic systems; Gated orthogonal recurrent unit; Generalization ability; Information encoding; Movement prediction; Prediction modelling; Stock movement; Stock movement prediction; Text information; Text information encoding; Variational inference; Deep neural networks","Article","Final","","Scopus","2-s2.0-85142670868"
